,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
0,Beer Money,2001,TV-14,19 Jun 2001,89 min,"Comedy, Sci-Fi",Joshua Butler,Rich Wilkes,"Mark-Paul Gosselaar, Mercedes McNab, Nick von Esmarch, J.P. Manoux","Three guys find a space alien in the woods and attempt to sell it to a tabloid TV show, with disastrous results.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTgyNjQ2ODA5N15BMl5BanBnXkFtZTcwOTU0Mzc1Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,409,tt0259882,movie,N/A,N/A,High Wire Films,N/A,True,
0,Scrambled Beer,2007,NOT RATED,06 Sep 2007,88 min,"Comedy, Crime, Sci-Fi",Cristobal Valderrama,"Carlos Labbe, Cristobal Valderrama","Diego Muñoz, Nicolás Saavedra, Javiera Díaz de Valdés, Manuela Martelli","Scrambled Beer is a delirious black comedy telling the story of Vladimir and George, two best friends who move in together. Vladimir lives a supernatural life of time travel while Jorge ...",Spanish,Chile,N/A,https://m.media-amazon.com/images/M/MV5BMTUxOTk4Mjg3Ml5BMl5BanBnXkFtZTcwNzQ0MzE1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,378,tt0810082,movie,N/A,N/A,Bazuca Films,N/A,True,
0,What-No Beer?,1933,PASSED,10 Feb 1933,65 min,Comedy,Edward Sedgwick,"Robert E. Hopkins (original story), Carey Wilson (screenplay), Jack Cluett (additional dialogue)","Buster Keaton, Jimmy Durante, Roscoe Ates, Phyllis Barry",Two men decide to cash in on the end of Prohibition by selling watered down beer.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjE1NzM0ODQzM15BMl5BanBnXkFtZTgwMzU3NTMzMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,368,tt0024762,movie,27 Jan 1993,N/A,MGM,N/A,True,
0,Beer Barrel Polecats,1946,APPROVED,10 Jan 1946,17 min,"Comedy, Short",Jules White,"Gilbert Pratt (story), Gilbert Pratt (screenplay)","Curly Howard, Larry Fine, Moe Howard, Robert B. Williams","The stooges make a whole batch of homemade beer, but get tossed in jail when Curly sells some to a policeman. Their minor indiscretion turns into a forty year sentence when a barrel of beer...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOTA1ODcyNjA3OF5BMl5BanBnXkFtZTcwMjY5MTkyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,327,tt0038344,movie,N/A,N/A,N/A,N/A,True,
0,Beer and Pretzels,1933,N/A,26 Aug 1933,20 min,"Short, Comedy, Musical",Jack Cummings,N/A,"Ted Healy, Moe Howard, Larry Fine, Curly Howard","Ted Healy and the 3 Stooges are fired and evicted from a theatre because Ted is annoys women working there. They then get jobs as waiters at a night club. Chaos leads to destruction of the business. At the end, Ted pursues another woman.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BODI3ZWJkNDQtNmE5NS00YThhLWIxMTctZmRlYjM2MDdkM2E3XkEyXkFqcGdeQXVyNTEzOTU0MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,201,tt0023789,movie,N/A,N/A,N/A,N/A,True,
0,A Beer Tale,2012,NOT RATED,04 Jul 2012,76 min,Comedy,Lee Roy Kunz,"Kane Kunz, Lee Roy Kunz","Lee Roy Kunz, Cru Ennis, Zelda Williams, Scott Patterson","A coming of age romantic comedy centered around the lives of twin brothers Luke and Corey Frankenstein in the pivotal months following college graduation. Orphaned at the age of five, the ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTAwMTg5MjMyMzleQTJeQWpwZ15BbWU4MDEyNjQ3OTAx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",N/A,4.5,178,tt1510988,movie,13 Nov 2012,N/A,All Channel Films,N/A,True,
0,In Heaven There Is No Beer?,1984,NOT RATED,23 May 1984,51 min,Documentary,Les Blank,N/A,N/A,"A portrait of the life, culture and food surrounding the lovers of Polka music. The title is taken from an old Polka standard. Stars of the Polka world are highlighted.",English,USA,2 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BZDNiYTg3ODMtYmNlNS00ZDE2LWI3YjktNzgyMTExODI4MzVlXkEyXkFqcGdeQXVyNTI3NTM4MTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,164,tt0087465,movie,N/A,N/A,Flower Films,N/A,True,
0,American Beer,2004,N/A,21 Apr 2004,105 min,Documentary,Paul Kermizian,N/A,"Jeremy Goldberg, Paul Kermizian, Jon Miller, Robert Purvis","In June of 2002, five friends left New York City by minivan and set out across the United States to visit 38 breweries in 40 days.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNjUwNzM1NjY0Nl5BMl5BanBnXkFtZTcwNjM1NTUyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,127,tt0372140,movie,12 Jul 2005,N/A,N/A,N/A,True,
0,Last Cup: Road to the World Series of Beer Pong,2008,N/A,13 Jun 2008,N/A,Documentary,Daniel Lindsay,"Daniel Lindsay, T.J. Martin","Sean Foster, Scott Reck",This project follows various individuals as they train for and prepare to compete in the World Series of Beer Pong.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTg5MjY1MjE1Ml5BMl5BanBnXkFtZTcwMzcwNDQ3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,107,tt1078603,movie,29 Dec 2009,N/A,B-Side Entertainment,N/A,True,
0,Beer Chase,1977,N/A,30 Jun 1977,85 min,Comedy,Herbert Achternbusch,Herbert Achternbusch,"Herbert Achternbusch, Annamirl Bierbichler, Josef Bierbichler, Heinz Braun",In a stolen police uniform the drinker Herbert creates unrest at the Oktoberfest in Munich. He is so drunk that he believes he is a real detective inspector.,German,West Germany,N/A,https://m.media-amazon.com/images/M/MV5BMGY3NmU3NTgtNzVjZC00MzVkLTg1NmItZTNiYjhkNTFiYzQxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjI3MDczMjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,101,tt0075750,movie,N/A,N/A,N/A,N/A,True,
0,Buddy's Beer Garden,1933,N/A,11 Nov 1933,7 min,"Family, Animation, Short",Earl Duvall,N/A,"Jack Carr, Bernice Hansen",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BN2Q4ZTI4ODUtOGU0NC00OTg1LWI1NzgtNDNiMWQxZTlkYmY4XkEyXkFqcGdeQXVyNjk1NzUxMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,101,tt0023851,movie,N/A,N/A,N/A,N/A,True,
0,Beer and Board Games,2010–,N/A,19 Aug 2010,N/A,"Documentary, Comedy, News",N/A,"Matt Sloan, Aaron Yonda, Andrew Yonda","Aaron Yonda, Matt Sloan, Adam Koralik","Matt Sloan, Aaron Yonda, and other incredible improv-comedians get drunk while playing board games.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZWFjOTdiYjEtNDQyMC00M2E2LWE3YjMtMmZhMjRmNjNlNzRkXkEyXkFqcGdeQXVyMjUzODExNDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.8/10'}]",N/A,8.8,93,tt2345915,series,,,,,True,4
0,A Half Pint of Beer,1955,N/A,25 Dec 1955,87 min,"Comedy, Drama, Romance",Félix Máriássy,Judit Máriássy,"Éva Ruttkai, Tibor Bitskey, Elma Bulla, Mária Sulyok","Mail author for translation. Kincse Marcinak régen tetszik a vele egy házban lakó Cséri Julika, de mielõtt szerelmük kibontakozhatna, a fiút behívják katonának. Juli gyárba kerül dolgozni, ...",Hungarian,Hungary,1 win.,https://m.media-amazon.com/images/M/MV5BNGZmNTNkNmEtYTIyNC00YWYyLTliNjctYmE5YTdiNTRjMGFmXkEyXkFqcGdeQXVyMjgxMTkzOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,92,tt0048029,movie,N/A,N/A,N/A,N/A,True,
0,American Beer,1996,NOT RATED,N/A,85 min,Comedy,Grant Harvey,"Brent Kawchuk, Jordan Kawchuk, Grant Harvey","James Tyce, C. Adam Leigh, Jordan Kawchuk, Jason Thompson","Four young Canadian men are out on a road trip when their car breaks down in the middle of nowhere. They each go their own way in search of a needed alternator, but along the way, each one ...",English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BMTcwNjkwMDcwOV5BMl5BanBnXkFtZTgwNzQ4ODk1MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,92,tt0115529,movie,28 Sep 2004,N/A,Vanguard,N/A,True,
0,Beer Pong Saved My Life,2010,N/A,N/A,N/A,Comedy,Reza Riazi,Reza Riazi,"Max Amini, Michael Consiglio, D.T. Carney, Dan Chavez","Two best friends, Dustin and Erik, are tired of their stagnant and miserable lives. When Dustin hears about a beer pong tournament at a near by college, Erik is on board right away. ...",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}]",N/A,3.9,81,tt1426355,movie,N/A,N/A,Gravitas,N/A,True,
0,"Blood, Sweat, and Beer",2015,Not Rated,01 Mar 2015,71 min,"Documentary, Drama","Chip Hiden, Alexis Irvin","Chip Hiden (story), Alexis Irvin (story)","Brandon Capps, Asa Foster, Matt Katase, Danny Robinson",A documentary exploring the explosive growth of the craft beer industry and the struggles of two start-up breweries.,English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BOTU5MDQ4NDM3OF5BMl5BanBnXkFtZTgwNzQ3NjA2NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,66,tt3993730,movie,N/A,N/A,N/A,N/A,True,
0,Beer Is Cheaper Than Therapy,2011,N/A,23 Nov 2011,78 min,"Documentary, News",Simone de Vries,Simone de Vries,N/A,This documentary looks for an answer to the question of why the number of suicides among young American veterans and soldiers of the wars in Iraq and Afghanistan is so frighteningly high. ...,English,"Netherlands, USA",N/A,https://m.media-amazon.com/images/M/MV5BMjEyMDkxMDMyNV5BMl5BanBnXkFtZTgwMDU0NzUzMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,50,tt2332545,movie,N/A,N/A,N/A,N/A,True,
0,Beer and Blood: Enemies of the Public,2005,N/A,N/A,20 min,"Documentary, Short","Karen Hillhouse, John Rust",N/A,"Martin Scorsese, Robert Sklar, Alain Silver, Drew Casper","An examination of ""The Public Enemy"" (1931) by film historians and critics.",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,49,tt0443900,movie,N/A,N/A,N/A,N/A,True,
0,Bloodhound Gang: One Fierce Beer Run,2003,N/A,12 Aug 2003,118 min,"Documentary, Music",Michael Alperowitz,N/A,"Johann Benét, Spanky G., Bloodhound Gang, Jared 'Evil' Hasselhoff",N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,42,tt0477578,movie,17 Aug 2004,N/A,N/A,N/A,True,
0,Murbah Swamp Beer,2002,N/A,24 Feb 2002,7 min,"Short, Documentary, Comedy",Gary Doust,N/A,N/A,"Just before Easter 2001, a semi-trailer loaded with 40,000 bottles of beer crashed into the Tweed River on the out skirts of the northern New South Wales town of Murwillumbah (known as ""...",English,Australia,1 win.,https://m.media-amazon.com/images/M/MV5BODQ4ZjdjYmEtZmY5MS00Y2I0LWFjM2QtZWVmMWFkMDRkZTdjXkEyXkFqcGdeQXVyODYyMDI0Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,37,tt0318468,movie,N/A,N/A,N/A,N/A,True,
