user,City,Country,Time (days),City-Country
8128,Helsinki,Finland,7,"Helsinki, Finland"
8128,Lisbon,Portugal,8,"Lisbon, Portugal"
8128,London,United Kingdom,9,"London, United Kingdom"
8128,"Los Angeles, CA",United States,4,"Los Angeles, CA, United States"
8128,Madrid,Spain,4,"Madrid, Spain"
8128,"Miami, FL",United States,8,"Miami, FL, United States"
8128,"New York City, NY",United States,1767,"New York City, NY, United States"
8128,Paris,France,5,"Paris, France"
8128,Porto,Portugal,14,"Porto, Portugal"
8128,"San Francisco, CA",United States,59,"San Francisco, CA, United States"
8128,Stockholm,Sweden,2,"Stockholm, Sweden"
8128,Tangier,Morocco,3,"Tangier, Morocco"
8128,Tokyo,Japan,3,"Tokyo, Japan"
8128,Toronto,Canada,7,"Toronto, Canada"
9102180,Bangkok,Thailand,43,"Bangkok, Thailand"
9102180,"Canggu, Bali",Indonesia,17,"Canggu, Bali, Indonesia"
9102180,Chiang Mai,Thailand,47,"Chiang Mai, Thailand"
a,"Austin, TX",United States,3,"Austin, TX, United States"
a,Bangkok,Thailand,4,"Bangkok, Thailand"
a,Guangzhou,China,1,"Guangzhou, China"
a,"Los Angeles, CA",United States,6,"Los Angeles, CA, United States"
a,Phuket,Thailand,22,"Phuket, Thailand"
a,"San Francisco, CA",United States,242,"San Francisco, CA, United States"
a,"St. Louis, MO",United States,6,"St. Louis, MO, United States"
aaatelier_ejay,Amsterdam,Netherlands,9,"Amsterdam, Netherlands"
aaatelier_ejay,"Atlanta, GA",United States,30,"Atlanta, GA, United States"
aaatelier_ejay,Bangkok,Thailand,397,"Bangkok, Thailand"
aaatelier_ejay,"Canggu, Bali",Indonesia,30,"Canggu, Bali, Indonesia"
aaatelier_ejay,Chiang Mai,Thailand,90,"Chiang Mai, Thailand"
aaatelier_ejay,Frankfurt,Germany,9,"Frankfurt, Germany"
aaatelier_ejay,Fukuoka,Japan,4,"Fukuoka, Japan"
aaatelier_ejay,"George Town, Penang",Malaysia,33,"George Town, Penang, Malaysia"
aaatelier_ejay,Guangzhou,China,31,"Guangzhou, China"
aaatelier_ejay,"Honolulu, Hawaii",United States,31,"Honolulu, Hawaii, United States"
aaatelier_ejay,Ko Pha Ngan,Thailand,30,"Ko Pha Ngan, Thailand"
aaatelier_ejay,"Las Vegas, NV",United States,3,"Las Vegas, NV, United States"
aaatelier_ejay,London,United Kingdom,486,"London, United Kingdom"
aaatelier_ejay,"Los Angeles, CA",United States,64,"Los Angeles, CA, United States"
aaatelier_ejay,"Miami, FL",United States,30,"Miami, FL, United States"
aaatelier_ejay,"New York City, NY",United States,8,"New York City, NY, United States"
aaatelier_ejay,Osaka,Japan,5,"Osaka, Japan"
aaatelier_ejay,Paris,France,10,"Paris, France"
aaatelier_ejay,Rome,Italy,31,"Rome, Italy"
aaatelier_ejay,Seoul,South Korea,192,"Seoul, South Korea"
aaatelier_ejay,Tokyo,Japan,30,"Tokyo, Japan"
aaatelier_ejay,Venice,Italy,31,"Venice, Italy"
aaatelier_ejay,"Washington, DC",United States,123,"Washington, DC, United States"
aaatelier_ejay,Zurich,Switzerland,19,"Zurich, Switzerland"
aabergkvist,Amsterdam,Netherlands,8,"Amsterdam, Netherlands"
aabergkvist,Barcelona,Spain,15,"Barcelona, Spain"
aabergkvist,Bengaluru,India,29,"Bengaluru, India"
aabergkvist,Berlin,Germany,6,"Berlin, Germany"
aabergkvist,Boracay,Philippines,12,"Boracay, Philippines"
aabergkvist,Chamonix,France,6,"Chamonix, France"
aabergkvist,Copenhagen,Denmark,4,"Copenhagen, Denmark"
aabergkvist,Dublin,Ireland,1,"Dublin, Ireland"
aabergkvist,Geneva,Switzerland,1,"Geneva, Switzerland"
aabergkvist,Gothenburg,Sweden,3,"Gothenburg, Sweden"
aabergkvist,Guangzhou,China,5,"Guangzhou, China"
aabergkvist,Helsinki,Finland,3,"Helsinki, Finland"
aabergkvist,Hong Kong,Hong Kong,17,"Hong Kong, Hong Kong"
aabergkvist,"Las Vegas, NV",United States,4,"Las Vegas, NV, United States"
aabergkvist,London,United Kingdom,6,"London, United Kingdom"
aabergkvist,"Los Angeles, CA",United States,1,"Los Angeles, CA, United States"
aabergkvist,Monaco,Monaco,1,"Monaco, Monaco"
aabergkvist,Oslo,Norway,4019,"Oslo, Norway"
aabergkvist,"Palma, Mallorca",Spain,5,"Palma, Mallorca, Spain"
aabergkvist,Paris,France,3,"Paris, France"
aabergkvist,Riga,Latvia,3,"Riga, Latvia"
aabergkvist,Rome,Italy,12,"Rome, Italy"
aabergkvist,"San Diego, CA",United States,3,"San Diego, CA, United States"
aabergkvist,"San Francisco, CA",United States,12,"San Francisco, CA, United States"
aabergkvist,Santo Domingo,Dominican Republic,13,"Santo Domingo, Dominican Republic"
aakashdhuna,"Canggu, Bali",Indonesia,23,"Canggu, Bali, Indonesia"
aakashdhuna,Hong Kong,Hong Kong,4,"Hong Kong, Hong Kong"
aakashdhuna,Sapporo,Japan,2,"Sapporo, Japan"
aakashdhuna,Singapore,Singapore,13,"Singapore, Singapore"
aakashdhuna,Tokyo,Japan,4,"Tokyo, Japan"
aakashdhuna,"Ubud, Bali",Indonesia,5,"Ubud, Bali, Indonesia"
aaleksandar,Abu Dhabi,United Arab Emirates,279,"Abu Dhabi, United Arab Emirates"
aaleksandar,Amman,Jordan,8,"Amman, Jordan"
aaleksandar,Amsterdam,Netherlands,39,"Amsterdam, Netherlands"
aaleksandar,Antalya,Turkey,16,"Antalya, Turkey"
aaleksandar,Beirut,Lebanon,10,"Beirut, Lebanon"
aaleksandar,Belgrade,Serbia,413,"Belgrade, Serbia"
aaleksandar,Berlin,Germany,339,"Berlin, Germany"
aaleksandar,Brasilia,Brazil,7,"Brasilia, Brazil"
aaleksandar,Chiang Mai,Thailand,6,"Chiang Mai, Thailand"
aaleksandar,"Chicago, IL",United States,7,"Chicago, IL, United States"
aaleksandar,Copenhagen,Denmark,7,"Copenhagen, Denmark"
aaleksandar,Delhi,India,5,"Delhi, India"
aaleksandar,Doha,Qatar,5,"Doha, Qatar"
aaleksandar,Dubai,United Arab Emirates,14,"Dubai, United Arab Emirates"
aaleksandar,Dublin,Ireland,8,"Dublin, Ireland"
aaleksandar,Edinburgh,United Kingdom,5,"Edinburgh, United Kingdom"
aaleksandar,Frankfurt,Germany,4,"Frankfurt, Germany"
aaleksandar,Goa,India,8,"Goa, India"
aaleksandar,Guadalajara,Mexico,78,"Guadalajara, Mexico"
aaleksandar,Hong Kong,Hong Kong,5,"Hong Kong, Hong Kong"
aaleksandar,Istanbul,Turkey,9,"Istanbul, Turkey"
aaleksandar,Kochi,India,2,"Kochi, India"
aaleksandar,Kotor,Montenegro,12,"Kotor, Montenegro"
aaleksandar,Lima,Peru,11,"Lima, Peru"
aaleksandar,Lisbon,Portugal,63,"Lisbon, Portugal"
aaleksandar,London,United Kingdom,60,"London, United Kingdom"
aaleksandar,Madrid,Spain,2,"Madrid, Spain"
aaleksandar,Manama,Bahrain,3,"Manama, Bahrain"
aaleksandar,Medellín,Colombia,194,"Medellín, Colombia"
aaleksandar,Mexico City,Mexico,57,"Mexico City, Mexico"
aaleksandar,"Miami, FL",United States,3,"Miami, FL, United States"
aaleksandar,Mumbai,India,10,"Mumbai, India"
aaleksandar,"New York City, NY",United States,15,"New York City, NY, United States"
aaleksandar,Phuket,Thailand,9,"Phuket, Thailand"
aaleksandar,"Portland, OR",United States,9,"Portland, OR, United States"
aaleksandar,Rio de Janeiro,Brazil,5,"Rio de Janeiro, Brazil"
aaleksandar,"San Francisco, CA",United States,38,"San Francisco, CA, United States"
aaleksandar,"Seattle, WA",United States,1,"Seattle, WA, United States"
aaleksandar,Shanghai,China,41,"Shanghai, China"
aaleksandar,Singapore,Singapore,436,"Singapore, Singapore"
aaleksandar,Stockholm,Sweden,5,"Stockholm, Sweden"
aaleksandar,São Paulo,Brazil,80,"São Paulo, Brazil"
aaleksandar,Tulum,Mexico,20,"Tulum, Mexico"
aaleksandar,Valencia,Spain,28,"Valencia, Spain"
aaranmcguire,"Atlanta, GA",United States,20,"Atlanta, GA, United States"
aaranmcguire,"Austin, TX",United States,4,"Austin, TX, United States"
aaranmcguire,Copenhagen,Denmark,3,"Copenhagen, Denmark"
aaranmcguire,Dublin,Ireland,3,"Dublin, Ireland"
aaranmcguire,Lisbon,Portugal,26,"Lisbon, Portugal"
aaranmcguire,London,United Kingdom,691,"London, United Kingdom"
aaranmcguire,"New York City, NY",United States,19,"New York City, NY, United States"
aaranmcguire,Paris,France,3,"Paris, France"
aaranmcguire,"San Francisco, CA",United States,32,"San Francisco, CA, United States"
aaranmcguire,"San Jose, CA",United States,3,"San Jose, CA, United States"
aaranmcguire,Stockholm,Sweden,5,"Stockholm, Sweden"
aaronbailey,Budapest,Hungary,3,"Budapest, Hungary"
aaronbailey,"Chicago, IL",United States,2,"Chicago, IL, United States"
aaronbailey,"Denver, CO",United States,180,"Denver, CO, United States"
aaronbailey,Dublin,Ireland,9,"Dublin, Ireland"
aaronbailey,Dubrovnik,Croatia,4,"Dubrovnik, Croatia"
aaronbailey,"Fort Lauderdale, FL",United States,3,"Fort Lauderdale, FL, United States"
aaronbailey,Prague,Czechia,4,"Prague, Czechia"
aaronbailey,Puerto Vallarta,Mexico,28,"Puerto Vallarta, Mexico"
aaronbailey,"San Francisco, CA",United States,1,"San Francisco, CA, United States"
aaronbailey,Tamarindo,Costa Rica,8,"Tamarindo, Costa Rica"
aaronpyon,Budapest,Hungary,38,"Budapest, Hungary"
aaronpyon,Chiang Mai,Thailand,53,"Chiang Mai, Thailand"
abbsterrr,Istanbul,Turkey,4,"Istanbul, Turkey"
abbsterrr,Jerusalem,Israel,7,"Jerusalem, Israel"
abbsterrr,Paris,France,7,"Paris, France"
abbsterrr,Tel Aviv,Israel,21,"Tel Aviv, Israel"
abbygmcclain,Amsterdam,Netherlands,3,"Amsterdam, Netherlands"
abbygmcclain,Bangkok,Thailand,7,"Bangkok, Thailand"
abbygmcclain,Barcelona,Spain,4,"Barcelona, Spain"
abbygmcclain,"Canggu, Bali",Indonesia,29,"Canggu, Bali, Indonesia"
abbygmcclain,"Chicago, IL",United States,1,"Chicago, IL, United States"
abbygmcclain,Dusseldorf,Germany,1,"Dusseldorf, Germany"
abbygmcclain,Geneva,Switzerland,1,"Geneva, Switzerland"
abbygmcclain,"Indianapolis, IN",United States,14,"Indianapolis, IN, United States"
abbygmcclain,Interlaken,Switzerland,3,"Interlaken, Switzerland"
abbygmcclain,Marrakesh,Morocco,4,"Marrakesh, Morocco"
abbygmcclain,"Orlando, FL",United States,33,"Orlando, FL, United States"
abbygmcclain,Paris,France,4,"Paris, France"
abbygmcclain,"Raleigh, NC",United States,5,"Raleigh, NC, United States"
abbygmcclain,"Seattle, WA",United States,4,"Seattle, WA, United States"
abel,Bangkok,Thailand,31,"Bangkok, Thailand"
abigaillind,Aberdeen,United Kingdom,4,"Aberdeen, United Kingdom"
abigaillind,Bangkok,Thailand,66,"Bangkok, Thailand"
abigaillind,Cape Town,South Africa,28,"Cape Town, South Africa"
abigaillind,Cartagena,Colombia,13,"Cartagena, Colombia"
abigaillind,Edinburgh,United Kingdom,15,"Edinburgh, United Kingdom"
abigaillind,Glasgow,United Kingdom,11,"Glasgow, United Kingdom"
abigaillind,"Lake Tahoe, CA",United States,77,"Lake Tahoe, CA, United States"
abigaillind,Marrakesh,Morocco,14,"Marrakesh, Morocco"
abigaillind,Marseille,France,3,"Marseille, France"
abigaillind,Medellín,Colombia,93,"Medellín, Colombia"
abigaillind,Mexico City,Mexico,32,"Mexico City, Mexico"
abigaillind,Montpellier,France,9,"Montpellier, France"
abigaillind,Paris,France,28,"Paris, France"
abigaillind,"Pittsburgh, PA",United States,1511,"Pittsburgh, PA, United States"
abigaillind,Playa del Carmen,Mexico,65,"Playa del Carmen, Mexico"
abigaillind,Rome,Italy,16,"Rome, Italy"
abigaillind,"Seminyak, Bali",Indonesia,13,"Seminyak, Bali, Indonesia"
abigaillind,Sydney,Australia,10,"Sydney, Australia"
abigaillind,Tokyo,Japan,9,"Tokyo, Japan"
abigaillind,"Ubud, Bali",Indonesia,33,"Ubud, Bali, Indonesia"
abigaillind,Wellington,New Zealand,70,"Wellington, New Zealand"
abow,"Denver, CO",United States,1725,"Denver, CO, United States"
abow,"Phoenix, AZ",United States,209,"Phoenix, AZ, United States"
abow,Reykjavik,Iceland,9,"Reykjavik, Iceland"
abow,Tokyo,Japan,17,"Tokyo, Japan"
abstaa,Amsterdam,Netherlands,1,"Amsterdam, Netherlands"
abstaa,Brussels,Belgium,3,"Brussels, Belgium"
abstaa,Helsinki,Finland,6,"Helsinki, Finland"
abstaa,Rotterdam,Netherlands,3,"Rotterdam, Netherlands"
acormail,Amsterdam,Netherlands,2,"Amsterdam, Netherlands"
acormail,"Palma, Mallorca",Spain,1,"Palma, Mallorca, Spain"
acormail,Playa del Carmen,Mexico,1,"Playa del Carmen, Mexico"
acormail,Rotterdam,Netherlands,1,"Rotterdam, Netherlands"
acsaari,Cancun,Mexico,6,"Cancun, Mexico"
acsaari,"Houston, TX",United States,6,"Houston, TX, United States"
acsaari,Mexico City,Mexico,5,"Mexico City, Mexico"
acsaari,"New York City, NY",United States,6,"New York City, NY, United States"
acsaari,"San Francisco, CA",United States,17,"San Francisco, CA, United States"
adamaveray,Almaty,Kazakhstan,8,"Almaty, Kazakhstan"
adamaveray,Amsterdam,Netherlands,4,"Amsterdam, Netherlands"
adamaveray,Antalya,Turkey,2,"Antalya, Turkey"
adamaveray,Baku,Azerbaijan,4,"Baku, Azerbaijan"
adamaveray,Bangkok,Thailand,7,"Bangkok, Thailand"
adamaveray,Batumi,Georgia,4,"Batumi, Georgia"
adamaveray,Beijing,China,6,"Beijing, China"
adamaveray,Bishkek,Kyrgyzstan,11,"Bishkek, Kyrgyzstan"
adamaveray,Budapest,Hungary,1,"Budapest, Hungary"
adamaveray,Chengdu,China,3,"Chengdu, China"
adamaveray,Chiang Mai,Thailand,57,"Chiang Mai, Thailand"
adamaveray,Chongqing,China,2,"Chongqing, China"
adamaveray,Copenhagen,Denmark,4,"Copenhagen, Denmark"
adamaveray,Dublin,Ireland,3,"Dublin, Ireland"
adamaveray,Edinburgh,United Kingdom,8,"Edinburgh, United Kingdom"
adamaveray,Frankfurt,Germany,6,"Frankfurt, Germany"
adamaveray,Gold Coast,Australia,250,"Gold Coast, Australia"
adamaveray,Guangzhou,China,3,"Guangzhou, China"
adamaveray,Guilin,China,3,"Guilin, China"
adamaveray,Guiyang,China,1,"Guiyang, China"
adamaveray,Hanoi,Vietnam,24,"Hanoi, Vietnam"
adamaveray,Helsinki,Finland,1,"Helsinki, Finland"
adamaveray,Ho Chi Minh City,Vietnam,5,"Ho Chi Minh City, Vietnam"
adamaveray,Hoi An,Vietnam,4,"Hoi An, Vietnam"
adamaveray,Hong Kong,Hong Kong,22,"Hong Kong, Hong Kong"
adamaveray,Hue,Vietnam,3,"Hue, Vietnam"
adamaveray,Istanbul,Turkey,2,"Istanbul, Turkey"
adamaveray,Jakarta,Indonesia,3,"Jakarta, Indonesia"
adamaveray,Kuala Lumpur,Malaysia,2,"Kuala Lumpur, Malaysia"
adamaveray,Kunming,China,3,"Kunming, China"
adamaveray,"Kuta, Bali",Indonesia,1,"Kuta, Bali, Indonesia"
adamaveray,Lisbon,Portugal,38,"Lisbon, Portugal"
adamaveray,London,United Kingdom,13,"London, United Kingdom"
adamaveray,Macau,China,1,"Macau, China"
adamaveray,Munich,Germany,1,"Munich, Germany"
adamaveray,Nanning,China,4,"Nanning, China"
adamaveray,"New York City, NY",United States,52,"New York City, NY, United States"
adamaveray,Osaka,Japan,31,"Osaka, Japan"
adamaveray,Oslo,Norway,3,"Oslo, Norway"
adamaveray,Paris,France,2,"Paris, France"
adamaveray,Perth,Australia,151,"Perth, Australia"
adamaveray,Phnom Penh,Cambodia,4,"Phnom Penh, Cambodia"
adamaveray,Queenstown,New Zealand,7,"Queenstown, New Zealand"
adamaveray,Reykjavik,Iceland,4,"Reykjavik, Iceland"
adamaveray,Seoul,South Korea,20,"Seoul, South Korea"
adamaveray,Shanghai,China,5,"Shanghai, China"
adamaveray,Shenzhen,China,2,"Shenzhen, China"
adamaveray,Siem Reap,Cambodia,3,"Siem Reap, Cambodia"
adamaveray,Singapore,Singapore,3,"Singapore, Singapore"
adamaveray,Sofia,Bulgaria,1,"Sofia, Bulgaria"
adamaveray,Stockholm,Sweden,2,"Stockholm, Sweden"
adamaveray,Szczecin,Poland,7,"Szczecin, Poland"
adamaveray,Taipei,Taiwan,4,"Taipei, Taiwan"
adamaveray,Tallinn,Estonia,1,"Tallinn, Estonia"
adamaveray,Tbilisi,Georgia,2,"Tbilisi, Georgia"
adamaveray,Tokyo,Japan,621,"Tokyo, Japan"
adamaveray,Urumqi,China,3,"Urumqi, China"
adamaveray,Xi An,China,5,"Xi An, China"
adamaveray,Xiamen,China,1,"Xiamen, China"
adamaveray,Xining,China,1,"Xining, China"
adamjanes,Bangkok,Thailand,446,"Bangkok, Thailand"
adamjanes,Berlin,Germany,812,"Berlin, Germany"
adamjanes,Cambridge,United Kingdom,10,"Cambridge, United Kingdom"
adamjanes,Chiang Mai,Thailand,61,"Chiang Mai, Thailand"
adamjanes,Kiev,Ukraine,27,"Kiev, Ukraine"
adamjanes,Lisbon,Portugal,97,"Lisbon, Portugal"
adamjanes,Manila,Philippines,40,"Manila, Philippines"
adamjanes,Prague,Czechia,48,"Prague, Czechia"
adamloke,Budapest,Hungary,426,"Budapest, Hungary"
adammo,"Canggu, Bali",Indonesia,29,"Canggu, Bali, Indonesia"
adamnowek,Abbotsford,Canada,2,"Abbotsford, Canada"
adamnowek,Abu Dhabi,United Arab Emirates,1,"Abu Dhabi, United Arab Emirates"
adamnowek,Amsterdam,Netherlands,2254,"Amsterdam, Netherlands"
adamnowek,Antwerp,Belgium,2,"Antwerp, Belgium"
adamnowek,Arnhem,Netherlands,1,"Arnhem, Netherlands"
adamnowek,Athens,Greece,7,"Athens, Greece"
adamnowek,"Atlanta, GA",United States,2,"Atlanta, GA, United States"
adamnowek,Barcelona,Spain,3,"Barcelona, Spain"
adamnowek,Beijing,China,5,"Beijing, China"
adamnowek,Bergen,Norway,3,"Bergen, Norway"
adamnowek,Berlin,Germany,19,"Berlin, Germany"
adamnowek,Bern,Switzerland,9,"Bern, Switzerland"
adamnowek,Bilbao,Spain,3,"Bilbao, Spain"
adamnowek,Bologna,Italy,5,"Bologna, Italy"
adamnowek,Bratislava,Slovakia,7,"Bratislava, Slovakia"
adamnowek,Bristol,United Kingdom,1,"Bristol, United Kingdom"
adamnowek,Bruges,Belgium,2,"Bruges, Belgium"
adamnowek,Brussels,Belgium,440,"Brussels, Belgium"
adamnowek,Budapest,Hungary,24,"Budapest, Hungary"
adamnowek,Calgary,Canada,9,"Calgary, Canada"
adamnowek,Cardiff,United Kingdom,1,"Cardiff, United Kingdom"
adamnowek,Chengdu,China,1,"Chengdu, China"
adamnowek,"Chicago, IL",United States,11,"Chicago, IL, United States"
adamnowek,Cologne,Germany,4,"Cologne, Germany"
adamnowek,Copenhagen,Denmark,12,"Copenhagen, Denmark"
adamnowek,"Dallas, TX",United States,2,"Dallas, TX, United States"
adamnowek,"Denver, CO",United States,1,"Denver, CO, United States"
adamnowek,"Des Moines, IA",United States,1,"Des Moines, IA, United States"
adamnowek,"Detroit, MI",United States,1,"Detroit, MI, United States"
adamnowek,Dortmund,Germany,1,"Dortmund, Germany"
adamnowek,Dublin,Ireland,6,"Dublin, Ireland"
adamnowek,Dusseldorf,Germany,10,"Dusseldorf, Germany"
adamnowek,Edinburgh,United Kingdom,2,"Edinburgh, United Kingdom"
adamnowek,Edmonton,Canada,18,"Edmonton, Canada"
adamnowek,Eindhoven,Netherlands,3,"Eindhoven, Netherlands"
adamnowek,Exeter,United Kingdom,1,"Exeter, United Kingdom"
adamnowek,"Fargo, ND",United States,1,"Fargo, ND, United States"
adamnowek,Florence,Italy,11,"Florence, Italy"
adamnowek,Frankfurt,Germany,13,"Frankfurt, Germany"
adamnowek,Gdansk,Poland,6,"Gdansk, Poland"
adamnowek,Ghent,Belgium,4,"Ghent, Belgium"
adamnowek,Grande Prairie,Canada,6,"Grande Prairie, Canada"
adamnowek,Groningen,Netherlands,1,"Groningen, Netherlands"
adamnowek,Guelph,Canada,5,"Guelph, Canada"
adamnowek,Guilin,China,1,"Guilin, China"
adamnowek,Haarlem,Netherlands,2,"Haarlem, Netherlands"
adamnowek,Hagen,Germany,37,"Hagen, Germany"
adamnowek,Hamburg,Germany,3,"Hamburg, Germany"
adamnowek,Havana,Cuba,3,"Havana, Cuba"
adamnowek,Heidelberg,Germany,4,"Heidelberg, Germany"
adamnowek,Hong Kong,Hong Kong,122,"Hong Kong, Hong Kong"
adamnowek,"Houston, TX",United States,1,"Houston, TX, United States"
adamnowek,Istanbul,Turkey,16,"Istanbul, Turkey"
adamnowek,Katowice,Poland,7,"Katowice, Poland"
adamnowek,Kiev,Ukraine,3,"Kiev, Ukraine"
adamnowek,Kosice,Slovakia,8,"Kosice, Slovakia"
adamnowek,Kraków,Poland,85,"Kraków, Poland"
adamnowek,"Las Vegas, NV",United States,16,"Las Vegas, NV, United States"
adamnowek,Lisbon,Portugal,6,"Lisbon, Portugal"
adamnowek,London,United Kingdom,5,"London, United Kingdom"
adamnowek,"Los Angeles, CA",United States,2176,"Los Angeles, CA, United States"
adamnowek,Lucca,Italy,1,"Lucca, Italy"
adamnowek,Macau,China,5,"Macau, China"
adamnowek,Madrid,Spain,3,"Madrid, Spain"
adamnowek,"Minneapolis, MN",United States,1,"Minneapolis, MN, United States"
adamnowek,Mombasa,Kenya,3,"Mombasa, Kenya"
adamnowek,Monaco,Monaco,1,"Monaco, Monaco"
adamnowek,Montreal,Canada,4,"Montreal, Canada"
adamnowek,Moscow,Russia,3,"Moscow, Russia"
adamnowek,Munich,Germany,5,"Munich, Germany"
adamnowek,Nairobi,Kenya,30,"Nairobi, Kenya"
adamnowek,Nanaimo,Canada,2,"Nanaimo, Canada"
adamnowek,Naples,Italy,5,"Naples, Italy"
adamnowek,Nassau,The Bahamas,111,"Nassau, The Bahamas"
adamnowek,"New Orleans, LA",United States,9,"New Orleans, LA, United States"
adamnowek,"New York City, NY",United States,17,"New York City, NY, United States"
adamnowek,Newcastle Upon Tyne,United Kingdom,2,"Newcastle Upon Tyne, United Kingdom"
adamnowek,Nice,France,1,"Nice, France"
adamnowek,Nijmegen,Netherlands,1,"Nijmegen, Netherlands"
adamnowek,Nuremberg,Germany,4,"Nuremberg, Germany"
adamnowek,"Ogden, UT",United States,1,"Ogden, UT, United States"
adamnowek,"Orlando, FL",United States,1,"Orlando, FL, United States"
adamnowek,Oslo,Norway,13,"Oslo, Norway"
adamnowek,Ottawa,Canada,13,"Ottawa, Canada"
adamnowek,Oxford,United Kingdom,6,"Oxford, United Kingdom"
adamnowek,Paris,France,12,"Paris, France"
adamnowek,"Phoenix, AZ",United States,7,"Phoenix, AZ, United States"
adamnowek,Pisa,Italy,1,"Pisa, Italy"
adamnowek,"Portland, OR",United States,1,"Portland, OR, United States"
adamnowek,Porto,Portugal,3,"Porto, Portugal"
adamnowek,Prague,Czechia,13,"Prague, Czechia"
adamnowek,Quebec City,Canada,2,"Quebec City, Canada"
adamnowek,Regina,Canada,7,"Regina, Canada"
adamnowek,Reykjavik,Iceland,4,"Reykjavik, Iceland"
adamnowek,Rome,Italy,6,"Rome, Italy"
adamnowek,Rotterdam,Netherlands,6,"Rotterdam, Netherlands"
adamnowek,Rzeszow,Poland,3,"Rzeszow, Poland"
adamnowek,"Sacramento, CA",United States,1,"Sacramento, CA, United States"
adamnowek,"Salt Lake City, UT",United States,2,"Salt Lake City, UT, United States"
adamnowek,Salzburg,Austria,1,"Salzburg, Austria"
