Original name,City,Lat,Lon,Country,ISO2,ISO3,Population
Tianjin,Tianjin,39.13,117.2,China,CN,CHN,7180000.0
Chennai,Chennai,13.09,80.28,India,IN,IND,7163000.0
Taipei,Taipei,25.0358,121.5683,Taiwan,TW,TWN,6900273.0
Bengalūru,Bengaluru,12.97,77.56,India,IN,IND,6787000.0
Bangkok,Bangkok,13.75,100.5166,Thailand,TH,THA,6704000.0
Lahore,Lahore,31.56,74.35,Pakistan,PK,PAK,6577000.0
Chongqing,Chongqing,29.565,106.595,China,CN,CHN,6461000.0
Miami,Miami,25.7839,-80.2102,United States,US,USA,6381966.0
Hyderabad,Hyderabad,17.4,78.48,India,IN,IND,6376000.0
Dallas,Dallas,32.7936,-96.7662,United States,US,USA,5733259.0
Santiago,Santiago,-33.45,-70.667,Chile,CL,CHL,5720000.0
Philadelphia,Philadelphia,40.0077,-75.1339,United States,US,USA,5637884.0
Belo Horizonte,Belo Horizonte,-19.915,-43.915,Brazil,BR,BRA,5575000.0
Madrid,Madrid,40.4,-3.6834,Spain,ES,ESP,5567000.0
Houston,Houston,29.7869,-95.3905,United States,US,USA,5446468.0
Ahmadābād,Ahmadabad,23.0301,72.58,India,IN,IND,5375000.0
Ho Chi Minh City,Ho Chi Minh City,10.78,106.695,Vietnam,VN,VNM,5314000.0
Washington,Washington,38.9047,-77.0163,United States,US,USA,5289420.0
Atlanta,Atlanta,33.7627,-84.4225,United States,US,USA,5228750.0
Toronto,Toronto,43.7,-79.42,Canada,CA,CAN,5213000.0
Singapore,Singapore,1.293,103.8558,Singapore,SG,SGP,5183700.0
Luanda,Luanda,-8.8383,13.2344,Angola,AO,AGO,5172900.0
Baghdad,Baghdad,33.3386,44.3939,Iraq,IQ,IRQ,5054000.0
Barcelona,Barcelona,41.3833,2.1834,Spain,ES,ESP,4920000.0
Hāora,Haora,22.5804,88.3299,India,IN,IND,4841638.0
Shenyang,Shenyang,41.805,123.45,China,CN,CHN,4787000.0
Khartoum,Khartoum,15.5881,32.5342,Sudan,SD,SDN,4754000.0
Pune,Pune,18.53,73.85,India,IN,IND,4672000.0
Boston,Boston,42.3188,-71.0846,United States,US,USA,4637537.0
Sydney,Sydney,-33.92,151.1852,Australia,AU,AUS,4630000.0
Saint Petersburg,Saint Petersburg,59.939,30.316,Russia,RU,RUS,4553000.0
Chittagong,Chittagong,22.33,91.8,Bangladesh,BD,BGD,4529000.0
Dongguan,Dongguan,23.0489,113.7447,China,CN,CHN,4528000.0
Riyadh,Riyadh,24.6408,46.7727,Saudi Arabia,SA,SAU,4465000.0
Hanoi,Hanoi,21.0333,105.85,Vietnam,VN,VNM,4378000.0
Guadalajara,Guadalajara,20.67,-103.33,Mexico,MX,MEX,4198000.0
Melbourne,Melbourne,-37.82,144.975,Australia,AU,AUS,4170000.0
Alexandria,Alexandria,31.2,29.95,Egypt,EG,EGY,4165000.0
Chengdu,Chengdu,30.67,104.07,China,CN,CHN,4123000.0
Rangoon,Rangoon,16.7834,96.1667,Burma,MM,MMR,4088000.0
Phoenix,Phoenix,33.5722,-112.0891,United States,US,USA,4081849.0
Xi’an,Xi'an,34.275,108.895,China,CN,CHN,4009000.0
Porto Alegre,Porto Alegre,-30.05,-51.2,Brazil,BR,BRA,3917000.0
Sūrat,Surat,21.2,72.84,India,IN,IND,3842000.0
Hechi,Hechi,23.0965,109.6091,China,CN,CHN,3830000.0
Abidjan,Abidjan,5.32,-4.04,Côte D’Ivoire,CI,CIV,3802000.0
Brasília,Brasilia,-15.7833,-47.9161,Brazil,BR,BRA,3716996.0
Ankara,Ankara,39.9272,32.8644,Turkey,TR,TUR,3716000.0
Monterrey,Monterrey,25.67,-100.33,Mexico,MX,MEX,3712000.0
Yokohama,Yokohama,35.32,139.58,Japan,JP,JPN,3697894.0
Nanjing,Nanjing,32.05,118.78,China,CN,CHN,3679000.0
Montréal,Montreal,45.5,-73.5833,Canada,CA,CAN,3678000.0
Guiyang,Guiyang,26.58,106.72,China,CN,CHN,3662000.0
Recife,Recife,-8.0756,-34.9156,Brazil,BR,BRA,3651000.0
Seattle,Seattle,47.6211,-122.3244,United States,US,USA,3643765.0
Harbin,Harbin,45.75,126.65,China,CN,CHN,3621000.0
San Francisco,San Francisco,37.7562,-122.443,United States,US,USA,3603761.0
Fortaleza,Fortaleza,-3.75,-38.58,Brazil,BR,BRA,3602319.0
Zhangzhou,Zhangzhou,24.5204,117.67,China,CN,CHN,3531147.0
Detroit,Detroit,42.3834,-83.1024,United States,US,USA,3522206.0
Salvador,Salvador,-12.97,-38.48,Brazil,BR,BRA,3484000.0
Busan,Busan,35.0951,129.01,"Korea, South",KR,KOR,3480000.0
Johannesburg,Johannesburg,-26.17,28.03,South Africa,ZA,ZAF,3435000.0
Berlin,Berlin,52.5218,13.4015,Germany,DE,DEU,3406000.0
Algiers,Algiers,36.7631,3.0506,Algeria,DZ,DZA,3354000.0
Rome,Rome,41.896,12.4833,Italy,IT,ITA,3339000.0
Pyongyang,Pyongyang,39.0194,125.7547,"Korea, North",KP,PRK,3300000.0
Medellín,Medellin,6.275,-75.575,Colombia,CO,COL,3297000.0
Kabul,Kabul,34.5167,69.1833,Afghanistan,AF,AFG,3277000.0
Athens,Athens,37.9833,23.7333,Greece,GR,GRC,3242000.0
Nagoya,Nagoya,35.155,136.915,Japan,JP,JPN,3230000.0
Cape Town,Cape Town,-33.92,18.435,South Africa,ZA,ZAF,3215000.0
San Diego,San Diego,32.8312,-117.1225,United States,US,USA,3210314.0
Changchun,Changchun,43.865,125.34,China,CN,CHN,3183000.0
Casablanca,Casablanca,33.6,-7.6164,Morocco,MA,MAR,3181000.0
Dalian,Dalian,38.9228,121.6298,China,CN,CHN,3167000.0
Cawnpore,Cawnpore,26.46,80.32,India,IN,IND,3162000.0
Kano,Kano,12.0,8.52,Nigeria,NG,NGA,3140000.0
Tel Aviv-Yafo,Tel Aviv-Yafo,32.08,34.77,Israel,IL,ISR,3112000.0
Addis Ababa,Addis Ababa,9.0333,38.7,Ethiopia,ET,ETH,3100000.0
Curitiba,Curitiba,-25.42,-49.32,Brazil,BR,BRA,3084000.0
Zibo,Zibo,36.8,118.05,China,CN,CHN,3061000.0
Jeddah,Jeddah,21.5169,39.2192,Saudi Arabia,SA,SAU,3012000.0
Nairobi,Nairobi,-1.2833,36.8167,Kenya,KE,KEN,3010000.0
Hangzhou,Hangzhou,30.25,120.17,China,CN,CHN,3007000.0
Benoni,Benoni,-26.1496,28.3299,South Africa,ZA,ZAF,2986000.0
Caracas,Caracas,10.501,-66.917,Venezuela,VE,VEN,2985000.0
Milan,Milan,45.47,9.205,Italy,IT,ITA,2945000.0
Stuttgart,Stuttgart,48.78,9.2,Germany,DE,DEU,2944700.0
Kunming,Kunming,25.07,102.68,China,CN,CHN,2931000.0
Dar es Salaam,Dar es Salaam,-6.8,39.2683,Tanzania,TZ,TZA,2930000.0
Minneapolis,Minneapolis,44.9635,-93.2678,United States,US,USA,2926757.0
Jaipur,Jaipur,26.9211,75.81,India,IN,IND,2917000.0
Taiyuan,Taiyuan,37.875,112.5451,China,CN,CHN,2913000.0
Frankfurt,Frankfurt,50.1,8.675,Germany,DE,DEU,2895000.0
Qingdao,Qingdao,36.09,120.33,China,CN,CHN,2866000.0
Surabaya,Surabaya,-7.2492,112.7508,Indonesia,ID,IDN,2845000.0
Lisbon,Lisbon,38.7227,-9.1449,Portugal,PT,PRT,2812000.0
Tampa,Tampa,27.9942,-82.4451,United States,US,USA,2804240.0
Jinan,Jinan,36.675,116.995,China,CN,CHN,2798000.0
Fukuoka,Fukuoka,33.595,130.41,Japan,JP,JPN,2792000.0
Campinas,Campinas,-22.9,-47.1,Brazil,BR,BRA,2791000.0
Denver,Denver,39.7621,-104.8759,United States,US,USA,2787266.0
Kaohsiung,Kaohsiung,22.6333,120.2666,Taiwan,TW,TWN,2769072.0
Quezon City,Quezon City,14.6504,121.03,Philippines,PH,PHL,2761720.0
Katowice,Katowice,50.2604,19.02,Poland,PL,POL,2746000.0
Aleppo,Aleppo,36.23,37.17,Syria,SY,SYR,2738000.0
Durban,Durban,-29.865,30.98,South Africa,ZA,ZAF,2729000.0
Kyiv,Kyiv,50.4334,30.5166,Ukraine,UA,UKR,2709000.0
Lucknow,Lucknow,26.855,80.915,India,IN,IND,2695000.0
Giza,Giza,30.01,31.19,Egypt,EG,EGY,2681863.0
Zhengzhou,Zhengzhou,34.755,113.6651,China,CN,CHN,2636000.0
Taichung,Taichung,24.1521,120.6817,Taiwan,TW,TWN,2629323.0
Brooklyn,Brooklyn,40.6501,-73.9496,United States,US,USA,2629150.0
Ibadan,Ibadan,7.38,3.93,Nigeria,NG,NGA,2628000.0
Faisalabad,Faisalabad,31.41,73.11,Pakistan,PK,PAK,2617000.0
Fuzhou,Fuzhou,26.08,119.3,China,CN,CHN,2606000.0
Changsha,Changsha,28.2,112.97,China,CN,CHN,2604000.0
Dakar,Dakar,14.7158,-17.4731,Senegal,SN,SEN,2604000.0
İzmir,Izmir,38.4361,27.1518,Turkey,TR,TUR,2587000.0
Xiangtan,Xiangtan,27.8504,112.9,China,CN,CHN,2586948.0
Lanzhou,Lanzhou,36.056,103.792,China,CN,CHN,2561000.0
Incheon,Incheon,37.4761,126.6422,"Korea, South",KR,KOR,2550000.0
Sapporo,Sapporo,43.075,141.34,Japan,JP,JPN,2544000.0
Xiamen,Xiamen,24.45,118.08,China,CN,CHN,2519000.0
Guayaquil,Guayaquil,-2.22,-79.92,Ecuador,EC,ECU,2514000.0
George Town,George Town,5.4136,100.3294,Malaysia,MY,MYS,2500000.0
Mashhad,Mashhad,36.27,59.57,Iran,IR,IRN,2469000.0
Damascus,Damascus,33.5,36.3,Syria,SY,SYR,2466000.0
Daegu,Daegu,35.8668,128.607,"Korea, South",KR,KOR,2460000.0
Nāgpur,Nagpur,21.17,79.09,India,IN,IND,2454000.0
Lianshan,Lianshan,40.7503,120.83,China,CN,CHN,2426000.0
Shijiazhuang,Shijiazhuang,38.05,114.48,China,CN,CHN,2417000.0
Tunis,Tunis,36.8028,10.1797,Tunisia,TN,TUN,2412500.0
Vienna,Vienna,48.2,16.3666,Austria,AT,AUT,2400000.0
Jilin,Jilin,43.85,126.55,China,CN,CHN,2396000.0
Omdurman,Omdurman,15.6167,32.48,Sudan,SD,SDN,2395159.0
Bandung,Bandung,-6.95,107.57,Indonesia,ID,IDN,2394000.0
Bekasi,Bekasi,-6.2173,106.9723,Indonesia,ID,IDN,2378211.0
Mannheim,Mannheim,49.5004,8.47,Germany,DE,DEU,2362000.0
Nanchang,Nanchang,28.68,115.88,China,CN,CHN,2350000.0
Wenzhou,Wenzhou,28.02,120.6501,China,CN,CHN,2350000.0
Queens,Queens,40.7498,-73.7976,United States,US,USA,2333054.0
Vancouver,Vancouver,49.2734,-123.1216,Canada,CA,CAN,2313328.0
Birmingham,Birmingham,52.475,-1.92,United Kingdom,GB,GBR,2285000.0
Cali,Cali,3.4,-76.5,Colombia,CO,COL,2254000.0
Naples,Naples,40.84,14.245,Italy,IT,ITA,2250000.0
Sendai,Sendai,38.2871,141.0217,Japan,JP,JPN,2250000.0
Manchester,Manchester,53.5004,-2.248,United Kingdom,GB,GBR,2230000.0
Puebla,Puebla,19.05,-98.2,Mexico,MX,MEX,2195000.0
Tripoli,Tripoli,32.8925,13.18,Libya,LY,LBY,2189000.0
Tashkent,Tashkent,41.3117,69.2949,Uzbekistan,UZ,UZB,2184000.0
Havana,Havana,23.132,-82.3642,Cuba,CU,CUB,2174000.0
Gaoping,Gaoping,30.7804,106.13,China,CN,CHN,2174000.0
Baltimore,Baltimore,39.3051,-76.6144,United States,US,USA,2170504.0
Nanning,Nanning,22.82,108.32,China,CN,CHN,2167000.0
Belém,Belem,-1.45,-48.48,Brazil,BR,BRA,2167000.0
Patna,Patna,25.625,85.13,India,IN,IND,2158000.0
Santo Domingo,Santo Domingo,18.4701,-69.9001,Dominican Republic,DO,DOM,2154000.0
Ürümqi,Urumqi,43.805,87.575,China,CN,CHN,2151000.0
Zaozhuang,Zaozhuang,34.88,117.57,China,CN,CHN,2145000.0
Baku,Baku,40.3953,49.8622,Azerbaijan,AZ,AZE,2122300.0
Accra,Accra,5.55,-0.2167,Ghana,GH,GHA,2121000.0
Yantai,Yantai,37.5304,121.4,China,CN,CHN,2116000.0
Medan,Medan,3.58,98.65,Indonesia,ID,IDN,2115000.0
Santa Cruz,Santa Cruz,-17.7539,-63.226,Bolivia,BO,BOL,2102998.0
Tongshan,Tongshan,34.28,117.18,China,CN,CHN,2091000.0
Riverside,Riverside,33.9381,-117.3948,United States,US,USA,2084749.0
Linyi,Linyi,35.08,118.33,China,CN,CHN,2082000.0
St. Louis,St. Louis,38.6358,-90.2451,United States,US,USA,2078283.0
Las Vegas,Las Vegas,36.2333,-115.2654,United States,US,USA,2073045.0
Maracaibo,Maracaibo,10.73,-71.66,Venezuela,VE,VEN,2072000.0
Kuwait City,Kuwait City,29.3697,47.9783,Kuwait,KW,KWT,2063000.0
Ad Dammām,Ad Dammam,26.4282,50.0997,Saudi Arabia,SA,SAU,2054710.0
Portland,Portland,45.5371,-122.65,United States,US,USA,2052796.0
Haikou,Haikou,20.05,110.32,China,CN,CHN,2046189.0
Hiroshima,Hiroshima,34.3878,132.4429,Japan,JP,JPN,2045000.0
Baotou,Baotou,40.6522,109.822,China,CN,CHN,2036000.0
Hefei,Hefei,31.85,117.28,China,CN,CHN,2035000.0
Indore,Indore,22.7151,75.865,India,IN,IND,2026000.0
Goiânia,Goiania,-16.72,-49.3,Brazil,BR,BRA,2022000.0
Sanaa,Sanaa,15.3547,44.2066,Yemen,YE,YEM,2008000.0
San Antonio,San Antonio,29.4658,-98.5254,United States,US,USA,2002530.0
Port-au-Prince,Port-au-Prince,18.541,-72.336,Haiti,HT,HTI,1998000.0
Haiphong,Haiphong,20.83,106.6801,Vietnam,VN,VNM,1969000.0
Suzhou,Suzhou,33.6361,116.9789,China,CN,CHN,1964000.0
Nanyang,Nanyang,33.0004,112.53,China,CN,CHN,1944000.0
Bucharest,Bucharest,44.4334,26.0999,Romania,RO,ROU,1942000.0
Ningbo,Ningbo,29.88,121.55,China,CN,CHN,1923000.0
Douala,Douala,4.0604,9.71,Cameroon,CM,CMR,1906000.0
Tangshan,Tangshan,39.6243,118.1944,China,CN,CHN,1879000.0
Tainan,Tainan,23.0,120.2,Taiwan,TW,TWN,1876312.0
Xiping,Xiping,40.08,113.3,China,CN,CHN,1873000.0
Asunción,Asuncion,-25.2964,-57.6415,Paraguay,PY,PRY,1870000.0
Saidu Sharif,Saidu Sharif,34.75,72.35,Pakistan,PK,PAK,1860310.0
Brisbane,Brisbane,-27.455,153.0351,Australia,AU,AUS,1860000.0
Rawalpindi,Rawalpindi,33.6,73.04,Pakistan,PK,PAK,1858000.0
Sacramento,Sacramento,38.5667,-121.4683,United States,US,USA,1854698.0
Beirut,Beirut,33.872,35.5097,Lebanon,LB,LBN,1846000.0
San Jose,San Jose,37.3021,-121.8489,United States,US,USA,1821899.0
Minsk,Minsk,53.9,27.5666,Belarus,BY,BLR,1805000.0
Kyōto,Kyoto,35.03,135.75,Japan,JP,JPN,1805000.0
Barranquilla,Barranquilla,10.96,-74.8,Colombia,CO,COL,1798000.0
Orlando,Orlando,28.4772,-81.3369,United States,US,USA,1776841.0
Shuyangzha,Shuyangzha,34.1299,118.7734,China,CN,CHN,1770000.0
Valencia,Valencia,10.23,-67.98,Venezuela,VE,VEN,1770000.0
Hamburg,Hamburg,53.55,10.0,Germany,DE,DEU,1757000.0
Vadodara,Vadodara,22.31,73.18,India,IN,IND,1756000.0
Manaus,Manaus,-3.1,-60.0,Brazil,BR,BRA,1753000.0
Shangqiu,Shangqiu,34.4504,115.65,China,CN,CHN,1753000.0
Wuxi,Wuxi,31.58,120.3,China,CN,CHN,1749000.0
Palembang,Palembang,-2.98,104.75,Indonesia,ID,IDN,1749000.0
Brussels,Brussels,50.8333,4.3333,Belgium,BE,BEL,1743000.0
Essen,Essen,51.45,7.0166,Germany,DE,DEU,1742135.0
Cleveland,Cleveland,41.4767,-81.6805,United States,US,USA,1730363.0
Bhopal,Bhopal,23.25,77.41,India,IN,IND,1727000.0
Hohhot,Hohhot,40.82,111.66,China,CN,CHN,1726000.0
Pittsburgh,Pittsburgh,40.4396,-79.9763,United States,US,USA,1715297.0
Luoyang,Luoyang,34.68,112.4701,China,CN,CHN,1715000.0
Santos,Santos,-23.9537,-46.3329,Brazil,BR,BRA,1709000.0
Jingling,Jingling,30.6501,113.16,China,CN,CHN,1708000.0
Warsaw,Warsaw,52.25,21.0,Poland,PL,POL,1707000.0
Rabat,Rabat,34.0253,-6.8361,Morocco,MA,MAR,1705000.0
Vitória,Vitoria,-20.324,-40.366,Brazil,BR,BRA,1704000.0
Quito,Quito,-0.215,-78.5001,Ecuador,EC,ECU,1701000.0
Antananarivo,Antananarivo,-18.9166,47.5166,Madagascar,MG,MDG,1697000.0
Coimbatore,Coimbatore,11.0,76.95,India,IN,IND,1696000.0
Daqing,Daqing,46.58,125.0,China,CN,CHN,1693000.0
Lu’an,Lu'an,31.7503,116.48,China,CN,CHN,1690000.0
Sanzhou,Sanzhou,30.82,108.4,China,CN,CHN,1680000.0
Budapest,Budapest,47.5,19.0833,Hungary,HU,HUN,1679000.0
Turin,Turin,45.0704,7.67,Italy,IT,ITA,1652000.0
Ludhiāna,Ludhiana,30.9278,75.8723,India,IN,IND,1649000.0
Cincinnati,Cincinnati,39.1412,-84.506,United States,US,USA,1648254.0
Kumasi,Kumasi,6.69,-1.63,Ghana,GH,GHA,1646000.0
Manhattan,Manhattan,40.7834,-73.9662,United States,US,USA,1643734.0
Qiqihar,Qiqihar,47.345,123.99,China,CN,CHN,1641000.0
Anshan,Anshan,41.115,122.94,China,CN,CHN,1639000.0
Austin,Austin,30.3006,-97.7517,United States,US,USA,1638716.0
Zhongli,Zhongli,24.965,121.2168,Taiwan,TW,TWN,1632616.0
Handan,Handan,36.58,114.48,China,CN,CHN,1631000.0
Tai’an,Tai'an,36.2,117.1201,China,CN,CHN,1629000.0
Eşfahān,Esfahan,32.7,51.7,Iran,IR,IRN,1628000.0
Kansas City,Kansas City,39.1239,-94.5541,United States,US,USA,1615621.0
Yaoundé,Yaounde,3.8667,11.5167,Cameroon,CM,CMR,1611000.0
Shantou,Shantou,23.37,116.67,China,CN,CHN,1601000.0
Āgra,Agra,27.1704,78.015,India,IN,IND,1592000.0
Zhanjiang,Zhanjiang,21.2,110.38,China,CN,CHN,1590000.0
La Paz,La Paz,-16.498,-68.15,Bolivia,BO,BOL,1590000.0
Kalyān,Kalyan,19.2502,73.1602,India,IN,IND,1576614.0
Abuja,Abuja,9.0833,7.5333,Nigeria,NG,NGA,1576000.0
Harare,Harare,-17.8178,31.0447,Zimbabwe,ZW,ZWE,1572000.0
Indianapolis,Indianapolis,39.7771,-86.1458,United States,US,USA,1564699.0
Xiantao,Xiantao,30.3704,113.44,China,CN,CHN,1556000.0
Khulna,Khulna,22.84,89.56,Bangladesh,BD,BGD,1553000.0
Weifang,Weifang,36.7204,119.1001,China,CN,CHN,1553000.0
Tijuana,Tijuana,32.5,-117.08,Mexico,MX,MEX,1553000.0
Santiago,Santiago,19.5,-70.67,Dominican Republic,DO,DOM,1550753.0
Xinyang,Xinyang,32.1304,114.07,China,CN,CHN,1541000.0
Luzhou,Luzhou,28.88,105.38,China,CN,CHN,1537000.0
Perth,Perth,-31.955,115.84,Australia,AU,AUS,1532000.0
Toluca,Toluca,19.3304,-99.67,Mexico,MX,MEX,1531000.0
Vishākhapatnam,Vishakhapatnam,17.73,83.305,India,IN,IND,1529000.0
Leeds,Leeds,53.83,-1.58,United Kingdom,GB,GBR,1529000.0
Kōbe,Kobe,34.68,135.17,Japan,JP,JPN,1528478.0
Columbus,Columbus,39.986,-82.9851,United States,US,USA,1528314.0
Multan,Multan,30.2,71.455,Pakistan,PK,PAK,1522000.0
Kochi,Kochi,10.015,76.2239,India,IN,IND,1519000.0
Montevideo,Montevideo,-34.858,-56.1711,Uruguay,UY,URY,1513000.0
Gujranwala,Gujranwala,32.1604,74.185,Pakistan,PK,PAK,1513000.0
Niterói,Niteroi,-22.9,-43.1,Brazil,BR,BRA,1500513.0
Ganzhou,Ganzhou,25.92,114.95,China,CN,CHN,1500000.0
Florence,Florence,43.78,11.25,Italy,IT,ITA,1500000.0
Liuzhou,Liuzhou,24.28,109.25,China,CN,CHN,1497000.0
Bamako,Bamako,12.65,-8.0,Mali,ML,MLI,1494000.0
Conakry,Conakry,9.5315,-13.6802,Guinea,GN,GIN,1494000.0
Bursa,Bursa,40.2,29.07,Turkey,TR,TUR,1492000.0
León de los Aldama,Leon de los Aldama,21.15,-101.7,Mexico,MX,MEX,1488000.0
Virginia Beach,Virginia Beach,36.7335,-76.0435,United States,US,USA,1480383.0
Nāsik,Nasik,20.0004,73.78,India,IN,IND,1473000.0
Fushun,Fushun,41.8654,123.87,China,CN,CHN,1470000.0
Changde,Changde,29.03,111.68,China,CN,CHN,1469000.0
Daejeon,Daejeon,36.3355,127.425,"Korea, South",KR,KOR,1468000.0
Charlotte,Charlotte,35.2079,-80.8304,United States,US,USA,1467362.0
Phnom Penh,Phnom Penh,11.55,104.9166,Cambodia,KH,KHM,1466000.0
Neijiang,Neijiang,29.5804,105.05,China,CN,CHN,1466000.0
Quanzhou,Quanzhou,24.9,118.58,China,CN,CHN,1463000.0
Kharkiv,Kharkiv,50.0,36.25,Ukraine,UA,UKR,1461000.0
Hyderabad City,Hyderabad City,25.38,68.375,Pakistan,PK,PAK,1459000.0
Bronx,Bronx,40.8501,-73.8662,United States,US,USA,1455720.0
Lomé,Lome,6.1319,1.2228,Togo,TG,TGO,1452000.0
Córdoba,Cordoba,-31.4,-64.1823,Argentina,AR,ARG,1452000.0
Huainan,Huainan,32.63,116.98,China,CN,CHN,1451000.0
Doha,Doha,25.2866,51.533,Qatar,QA,QAT,1450000.0
Kuala Lumpur,Kuala Lumpur,3.1667,101.7,Malaysia,MY,MYS,1448000.0
Maputo,Maputo,-25.9553,32.5892,Mozambique,MZ,MOZ,1446000.0
Kaduna,Kaduna,10.52,7.44,Nigeria,NG,NGA,1442000.0
Gwangju,Gwangju,35.171,126.9104,"Korea, South",KR,KOR,1440000.0
Kawanakajima,Kawanakajima,35.53,139.705,Japan,JP,JPN,1437266.0
San Salvador,San Salvador,13.71,-89.203,El Salvador,SV,SLV,1433000.0
Suining,Suining,30.5333,105.5333,China,CN,CHN,1425000.0
Lyon,Lyon,45.77,4.83,France,FR,FRA,1423000.0
Karaj,Karaj,35.8004,50.97,Iran,IR,IRN,1423000.0
Kampala,Kampala,0.3167,32.5833,Uganda,UG,UGA,1420000.0
Tabrīz,Tabriz,38.0863,46.3012,Iran,IR,IRN,1413000.0
The Hague,The Hague,52.08,4.27,Netherlands,NL,NLD,1406000.0
Davao,Davao,7.11,125.63,Philippines,PH,PHL,1402000.0
Marseille,Marseille,43.29,5.375,France,FR,FRA,1400000.0
Meerut,Meerut,29.0004,77.7,India,IN,IND,1398000.0
Mianyang,Mianyang,31.47,104.77,China,CN,CHN,1396000.0
Semarang,Semarang,-6.9666,110.42,Indonesia,ID,IDN,1396000.0
Farīdābād,Faridabad,28.4333,77.3167,India,IN,IND,1394000.0
Novosibirsk,Novosibirsk,55.03,82.96,Russia,RU,RUS,1389000.0
Mecca,Mecca,21.43,39.82,Saudi Arabia,SA,SAU,1385000.0
Dubai,Dubai,25.23,55.28,United Arab Emirates,AE,ARE,1379000.0
Milwaukee,Milwaukee,43.0642,-87.9673,United States,US,USA,1377808.0
Auckland,Auckland,-36.8481,174.763,New Zealand,NZ,NZL,1377200.0
Ma’anshan,Ma'anshan,31.7304,118.48,China,CN,CHN,1366302.0
Brazzaville,Brazzaville,-4.2592,15.2847,Congo (Brazzaville),CG,COG,1355000.0
Yiyang,Yiyang,28.6004,112.33,China,CN,CHN,1352000.0
Vārānasi,Varanasi,25.33,83.0,India,IN,IND,1352000.0
Lubumbashi,Lubumbashi,-11.68,27.48,Congo (Kinshasa),CD,COD,1352000.0
Juárez,Juarez,31.6904,-106.49,Mexico,MX,MEX,1343000.0
Ghāziābād,Ghaziabad,28.6604,77.4084,India,IN,IND,1341000.0
Pretoria,Pretoria,-25.7069,28.2294,South Africa,ZA,ZAF,1338000.0
Heze,Heze,35.23,115.45,China,CN,CHN,1338000.0
Porto,Porto,41.15,-8.62,Portugal,PT,PRT,1337000.0
Āsansol,Asansol,23.6833,86.9833,India,IN,IND,1328000.0
Lusaka,Lusaka,-15.4166,28.2833,Zambia,ZM,ZMB,1328000.0
Changzhou,Changzhou,31.78,119.97,China,CN,CHN,1327000.0
Mosul,Mosul,36.345,43.145,Iraq,IQ,IRQ,1316000.0
Yekaterinburg,Yekaterinburg,56.85,60.6,Russia,RU,RUS,1313000.0
Peshawar,Peshawar,34.005,71.535,Pakistan,PK,PAK,1303000.0
Mandalay,Mandalay,21.97,96.085,Burma,MM,MMR,1300000.0
Jamshedpur,Jamshedpur,22.7875,86.1975,India,IN,IND,1300000.0
