City,City-Country_EN
Ho Chi Minh City,"Ho Chi Minh City, Vietnam"
Colombo,"Colombo, Sri Lanka"
Glasgow,"Glasgow, United Kingdom"
Ljubljana,"Ljubljana, Slovenia"
Hoi An,"Hoi An, Vietnam"
Burgas,"Burgas, Bulgaria"
Agra,"Agra, India"
Ottawa,"Ottawa, Canada"
"San Diego, CA","San Diego, CA, United States"
Munich,"Munich, Germany"
Puerto Escondido,"Puerto Escondido, Mexico"
"Kansas City, MO","Kansas City, MO, United States"
Winnipeg,"Winnipeg, Canada"
Vienna,"Vienna, Austria"
Galle,"Galle, Sri Lanka"
Saskatoon,"Saskatoon, Canada"
Shanghai,"Shanghai, China"
Phnom Penh,"Phnom Penh, Cambodia"
Goa,"Goa, India"
Odessa,"Odessa, Ukraine"
El Gouna,"El Gouna, Egypt"
Khulna,"Khulna, Bangladesh"
Edmonton,"Edmonton, Canada"
Hanoi,"Hanoi, Vietnam"
Wellington,"Wellington, New Zealand"
Amman,"Amman, Jordan"
Mysore,"Mysore, India"
Lima,"Lima, Peru"
"Minneapolis, MN","Minneapolis, MN, United States"
Pune,"Pune, India"
Athens,"Athens, Greece"
"Battle Creek, MI","Battle Creek, MI, United States"
Tbilisi,"Tbilisi, Georgia"
Surrey,"Surrey, Canada"
Hubli,"Hubli, India"
Mamaia,"Mamaia, Romania"
Cebu,"Cebu, Philippines"
Chittagong,"Chittagong, Bangladesh"
Chiang Rai,"Chiang Rai, Thailand"
Abbotsford,"Abbotsford, Canada"
"Uluwatu, Bali","Uluwatu, Bali, Indonesia"
Thane,"Thane, India"
"Atlanta, GA","Atlanta, GA, United States"
Dublin,"Dublin, Ireland"
Florianopolis,"Florianopolis, Brazil"
Cuenca,"Cuenca, Ecuador"
"Brownsville, TX","Brownsville, TX, United States"
"Ponta Delgada, Azores","Ponta Delgada, Azores, Portugal"
Meerut,"Meerut, India"
"Jimbaran, Bali","Jimbaran, Bali, Indonesia"
Lagos,"Lagos, Nigeria"
Jeju Island,"Jeju Island, South Korea"
Havana,"Havana, Cuba"
Tulum,"Tulum, Mexico"
Braga,"Braga, Portugal"
Rijeka,"Rijeka, Croatia"
Regina,"Regina, Canada"
Baguio,"Baguio, Philippines"
Hyderabad,"Hyderabad, India"
Porto,"Porto, Portugal"
"Tenerife, Canary Islands","Tenerife, Canary Islands, Spain"
Tallinn,"Tallinn, Estonia"
"Denver, CO","Denver, CO, United States"
Cancun,"Cancun, Mexico"
Szczecin,"Szczecin, Poland"
Brampton,"Brampton, Canada"
Seville,"Seville, Spain"
"San Antonio, TX","San Antonio, TX, United States"
Ko Samui,"Ko Samui, Thailand"
Essaouira,"Essaouira, Morocco"
General Santos,"General Santos, Philippines"
"Orlando, FL","Orlando, FL, United States"
Chatham,"Chatham, Canada"
Gwalior,"Gwalior, India"
Haikou,"Haikou, China"
Manchester,"Manchester, United Kingdom"
Siargao,"Siargao, Philippines"
Antalya,"Antalya, Turkey"
Lucknow,"Lucknow, India"
"Miami, FL","Miami, FL, United States"
"Funchal, Madeira","Funchal, Madeira, Portugal"
Nashik,"Nashik, India"
La Union,"La Union, Philippines"
Bratislava,"Bratislava, Slovakia"
"Munggu, Bali","Munggu, Bali, Indonesia"
Guadalajara,"Guadalajara, Mexico"
Plovdiv,"Plovdiv, Bulgaria"
Kota Kinabalu,"Kota Kinabalu, Malaysia"
Taghazout,"Taghazout, Morocco"
"Bryan, TX","Bryan, TX, United States"
Oslo,"Oslo, Norway"
Liverpool,"Liverpool, United Kingdom"
"Laredo, TX","Laredo, TX, United States"
"Evansville, IN","Evansville, IN, United States"
Reykjavik,"Reykjavik, Iceland"
Cologne,"Cologne, Germany"
Jabalpur,"Jabalpur, India"
"Spokane, WA","Spokane, WA, United States"
"Birmingham, AL","Birmingham, AL, United States"
Kanpur,"Kanpur, India"
Asansol,"Asansol, India"
Hobart,"Hobart, Australia"
El Jadida,"El Jadida, Morocco"
Poznan,"Poznan, Poland"
Paramaribo,"Paramaribo, Suriname"
Leicester,"Leicester, United Kingdom"
Quito,"Quito, Ecuador"
"Dallas, TX","Dallas, TX, United States"
Kuching,"Kuching, Malaysia"
Copenhagen,"Copenhagen, Denmark"
"Salt Lake City, UT","Salt Lake City, UT, United States"
Dunedin,"Dunedin, New Zealand"
Dhanbad,"Dhanbad, India"
"Columbus, GA","Columbus, GA, United States"
"Beaumont, TX","Beaumont, TX, United States"
"Mobile, AL","Mobile, AL, United States"
Mostar,"Mostar, Bosnia"
"Seminyak, Bali","Seminyak, Bali, Indonesia"
Fredericton,"Fredericton, Canada"
Halifax,"Halifax, Canada"
Medellín,"Medellín, Colombia"
Kalyan,"Kalyan, India"
Bareilly,"Bareilly, India"
Ko Tao,"Ko Tao, Thailand"
"Albany, OR","Albany, OR, United States"
Jamshedpur,"Jamshedpur, India"
Paris,"Paris, France"
Luanda,"Luanda, Angola"
Adelaide,"Adelaide, Australia"
Adana,"Adana, Turkey"
Banja Luka,"Banja Luka, Bosnia"
Malang,"Malang, Indonesia"
"Rochester, MN","Rochester, MN, United States"
"Cleveland, OH","Cleveland, OH, United States"
Johannesburg,"Johannesburg, South Africa"
Leeds,"Leeds, United Kingdom"
Kingston,"Kingston, Jamaica"
"Fayetteville, NC","Fayetteville, NC, United States"
Dresden,"Dresden, Germany"
Grande Prairie,"Grande Prairie, Canada"
"Clarksville, TN","Clarksville, TN, United States"
Port Elizabeth,"Port Elizabeth, South Africa"
"Tulsa, OK","Tulsa, OK, United States"
Allahabad,"Allahabad, India"
St. Catharines,"St. Catharines, Canada"
Pattaya,"Pattaya, Thailand"
Nagpur,"Nagpur, India"
Kannur,"Kannur, India"
Apia,"Apia, Samoa"
"Toledo, OH","Toledo, OH, United States"
Merida,"Merida, Mexico"
Beirut,"Beirut, Lebanon"
Nha Trang,"Nha Trang, Vietnam"
Busan,"Busan, South Korea"
"Sioux Falls, SD","Sioux Falls, SD, United States"
Novi Sad,"Novi Sad, Serbia"
Kozhikode,"Kozhikode, India"
La Paz,"La Paz, Mexico"
"Gainesville, FL","Gainesville, FL, United States"
"Medford, OR","Medford, OR, United States"
"Roanoke, VA","Roanoke, VA, United States"
Montevideo,"Montevideo, Uruguay"
Malappuram,"Malappuram, India"
"Nashville, TN","Nashville, TN, United States"
Groningen,"Groningen, Netherlands"
Queretaro,"Queretaro, Mexico"
Lodz,"Lodz, Poland"
Oshawa,"Oshawa, Canada"
Stuttgart,"Stuttgart, Germany"
"Peoria, IL","Peoria, IL, United States"
Galapagos Islands,"Galapagos Islands, Ecuador"
Cozumel,"Cozumel, Mexico"
Constanta,"Constanta, Romania"
Aurangabad,"Aurangabad, India"
Rio de Janeiro,"Rio de Janeiro, Brazil"
Tartu,"Tartu, Estonia"
Helsinki,"Helsinki, Finland"
"Kokomo, IN","Kokomo, IN, United States"
"Columbus, OH","Columbus, OH, United States"
"Des Moines, IA","Des Moines, IA, United States"
Hull,"Hull, United Kingdom"
"Sanur, Bali","Sanur, Bali, Indonesia"
"Kennewick, WA","Kennewick, WA, United States"
Georgetown,"Georgetown, Guyana"
Varanasi,"Varanasi, India"
"Bakersfield, CA","Bakersfield, CA, United States"
Osijek,"Osijek, Croatia"
Thrissur,"Thrissur, India"
"Jacksonville, FL","Jacksonville, FL, United States"
Ko Lanta,"Ko Lanta, Thailand"
Amsterdam,"Amsterdam, Netherlands"
Malmö,"Malmö, Sweden"
Fortaleza,"Fortaleza, Brazil"
"Rogers, AR","Rogers, AR, United States"
Pisa,"Pisa, Italy"
"Charlotte, NC","Charlotte, NC, United States"
"Louisville, KY","Louisville, KY, United States"
Durg,"Durg, India"
Cabo San Lucas,"Cabo San Lucas, Mexico"
"San Francisco, CA","San Francisco, CA, United States"
Madurai,"Madurai, India"
"Jonesboro, AR","Jonesboro, AR, United States"
Nis,"Nis, Serbia"
Cairns,"Cairns, Australia"
Lake Balaton,"Lake Balaton, Hungary"
Benin City,"Benin City, Nigeria"
Hamburg,"Hamburg, Germany"
La Plata,"La Plata, Argentina"
"Eugene, OR","Eugene, OR, United States"
Bari,"Bari, Italy"
Zadar,"Zadar, Croatia"
Nairobi,"Nairobi, Kenya"
"Burlington, NC","Burlington, NC, United States"
"Grand Rapids, MI","Grand Rapids, MI, United States"
Krabi,"Krabi, Thailand"
"Cedar Rapids, IA","Cedar Rapids, IA, United States"
Jodhpur,"Jodhpur, India"
Tokyo,"Tokyo, Japan"
"Little Rock, AR","Little Rock, AR, United States"
"Fargo, ND","Fargo, ND, United States"
Yerevan,"Yerevan, Armenia"
"Lake Charles, LA","Lake Charles, LA, United States"
"Greensboro, NC","Greensboro, NC, United States"
"Owensboro, KY","Owensboro, KY, United States"
Da Lat,"Da Lat, Vietnam"
Genoa,"Genoa, Italy"
Santiago,"Santiago, Chile"
"Conroe, TX","Conroe, TX, United States"
Giza,"Giza, Egypt"
Riga,"Riga, Latvia"
"Tyler, TX","Tyler, TX, United States"
"Detroit, MI","Detroit, MI, United States"
"Indianapolis, IN","Indianapolis, IN, United States"
Victoria,"Victoria, Canada"
Tangier,"Tangier, Morocco"
Aligarh,"Aligarh, India"
Pretoria,"Pretoria, South Africa"
Frankfurt,"Frankfurt, Germany"
"Bethlehem, PA","Bethlehem, PA, United States"
San José,"San José, Costa Rica"
Gaziantep,"Gaziantep, Turkey"
Nanaimo,"Nanaimo, Canada"
Katowice,"Katowice, Poland"
"Bowling Green, KY","Bowling Green, KY, United States"
"Lubbock, TX","Lubbock, TX, United States"
"Eau Claire, WI","Eau Claire, WI, United States"
"Killeen, TX","Killeen, TX, United States"
"Melbourne, FL","Melbourne, FL, United States"
"Edinburg, TX","Edinburg, TX, United States"
Intag Valley,"Intag Valley, Ecuador"
"Oklahoma City, OK","Oklahoma City, OK, United States"
"Sacramento, CA","Sacramento, CA, United States"
Padova,"Padova, Italy"
"Richland, WA","Richland, WA, United States"
Aachen,"Aachen, Germany"
"Montgomery, AL","Montgomery, AL, United States"
"Amarillo, TX","Amarillo, TX, United States"
"Las Vegas, NV","Las Vegas, NV, United States"
Ibadan,"Ibadan, Nigeria"
Sliema,"Sliema, Malta"
Perth,"Perth, Australia"
"Amed, Bali","Amed, Bali, Indonesia"
San Miguel de Allende,"San Miguel de Allende, Mexico"
"Stockton, CA","Stockton, CA, United States"
Thessaloniki,"Thessaloniki, Greece"
Ko Phi Phi,"Ko Phi Phi, Thailand"
Jaipur,"Jaipur, India"
"Macon, GA","Macon, GA, United States"
Ao Nang,"Ao Nang, Thailand"
"Bossier City, LA","Bossier City, LA, United States"
"Denpasar, Bali","Denpasar, Bali, Indonesia"
Luxor,"Luxor, Egypt"
Vasai,"Vasai, India"
"Normal, IL","Normal, IL, United States"
"Bloomington, IL","Bloomington, IL, United States"
"Kingsport, TN","Kingsport, TN, United States"
"Memphis, TN","Memphis, TN, United States"
"Minot, ND","Minot, ND, United States"
"Fort Wayne, IN","Fort Wayne, IN, United States"
"Phoenix, AZ","Phoenix, AZ, United States"
Male,"Male, Maldives"
San Juan del Sur,"San Juan del Sur, Nicaragua"
Minsk,"Minsk, Belarus"
Wollongong,"Wollongong, Australia"
Podgorica,"Podgorica, Montenegro"
Puebla,"Puebla, Mexico"
Udon Thani,"Udon Thani, Thailand"
Vijayawada,"Vijayawada, India"
Montego Bay,"Montego Bay, Jamaica"
"Champaign, IL","Champaign, IL, United States"
Aveiro,"Aveiro, Portugal"
Nuremberg,"Nuremberg, Germany"
"Ogden, UT","Ogden, UT, United States"
"Tallahassee, FL","Tallahassee, FL, United States"
Birmingham,"Birmingham, United Kingdom"
"Auburn, AL","Auburn, AL, United States"
Belem,"Belem, Brazil"
Brisbane,"Brisbane, Australia"
Krasnodar,"Krasnodar, Russia"
Alanya,"Alanya, Turkey"
"Bismarck, ND","Bismarck, ND, United States"
Tirana,"Tirana, Albania"
"Shreveport, LA","Shreveport, LA, United States"
"Warner Robins, GA","Warner Robins, GA, United States"
"Muncie, IN","Muncie, IN, United States"
Marrakesh,"Marrakesh, Morocco"
"Corpus Christi, TX","Corpus Christi, TX, United States"
"Port Arthur, TX","Port Arthur, TX, United States"
Bath,"Bath, United Kingdom"
"Conway, AR","Conway, AR, United States"
"Chattanooga, TN","Chattanooga, TN, United States"
Bodrum,"Bodrum, Turkey"
Paphos,"Paphos, Cyprus"
Cordoba,"Cordoba, Argentina"
Kochi,"Kochi, India"
"Houston, TX","Houston, TX, United States"
Gili Air,"Gili Air, Indonesia"
Queenstown,"Queenstown, New Zealand"
"Hoover, AL","Hoover, AL, United States"
"Pekanbaru, Sumatra","Pekanbaru, Sumatra, Indonesia"
"Syracuse, NY","Syracuse, NY, United States"
"Terre Haute, IN","Terre Haute, IN, United States"
Surabaya,"Surabaya, Indonesia"
Jakarta,"Jakarta, Indonesia"
"Raleigh, NC","Raleigh, NC, United States"
Calgary,"Calgary, Canada"
Ranchi,"Ranchi, India"
"San Jose, CA","San Jose, CA, United States"
"Canton, OH","Canton, OH, United States"
N'Djamena,"N'Djamena, Chad"
Mitsurin,"Mitsurin, Brazil"
Tripoli,"Tripoli, Libya"
Djibouti,"Djibouti, Djibouti"
Nouméa,"Nouméa, New Caledonia"
Basra,"Basra, Iraq"
Sargodha,"Sargodha, Pakistan"
Monrovia,"Monrovia, Liberia"
"Ajaccio, Corsica","Ajaccio, Corsica, France"
Yangzhou,"Yangzhou, China"
Bangui,"Bangui, Central African Republic"
Bahawalpur,"Bahawalpur, Pakistan"
Anápolis,"Anápolis, Brazil"
Mogadishu,"Mogadishu, Somalia"
Kabul,"Kabul, Afghanistan"
Isfahan,"Isfahan, Iran"
Damascus,"Damascus, Syria"
Kralendijk,"Kralendijk, Bonaire"
Peshawar,"Peshawar, Pakistan"
Cayenne,"Cayenne, French Guiana"
Tengzhou,"Tengzhou, China"
Kirkuk,"Kirkuk, Kurdistan"
Zaria,"Zaria, Nigeria"
Quetta,"Quetta, Pakistan"
Sialkot,"Sialkot, Pakistan"
Benghazi,"Benghazi, Libya"
St. Gallen,"St. Gallen, Switzerland"
Interlaken,"Interlaken, Switzerland"
"Apple Valley, CA","Apple Valley, CA, United States"
Bamako,"Bamako, Mali"
Ahvaz,"Ahvaz, Iran"
Annecy,"Annecy, France"
Rouen,"Rouen, France"
Handan,"Handan, China"
Xiangyang,"Xiangyang, China"
"Elgin, IL","Elgin, IL, United States"
Cochabamba,"Cochabamba, Bolivia"
Lausanne,"Lausanne, Switzerland"
Mosul,"Mosul, Iraq"
A Coruna,"A Coruna, Spain"
Pyongyang,"Pyongyang, North Korea"
Soweto,"Soweto, South Africa"
Turin,"Turin, Italy"
Panama City,"Panama City, Panama"
"Cathedral City, CA","Cathedral City, CA, United States"
Punta Cana,"Punta Cana, Dominican Republic"
Gujranwala,"Gujranwala, Pakistan"
Xuzhou,"Xuzhou, China"
Faisalabad,"Faisalabad, Pakistan"
Avignon,"Avignon, France"
Biarritz,"Biarritz, France"
Zhoukou,"Zhoukou, China"
Dorobō,"Dorobō, Japan"
Datong,"Datong, China"
Charlotte Amalie,"Charlotte Amalie, United States Virgin Islands"
Kagoshima,"Kagoshima, Japan"
Jeddah,"Jeddah, Saudi Arabia"
Philipsburg,"Philipsburg, Sint Maarten"
Vatican City,"Vatican City, Vatican City"
Nampo,"Nampo, North Korea"
Accra,"Accra, Ghana"
Doha,"Doha, Qatar"
Luxembourg,"Luxembourg, Luxembourg"
Hamhung,"Hamhung, North Korea"
Chamonix,"Chamonix, France"
Hamilton,"Hamilton, Bermuda"
Zhucheng,"Zhucheng, China"
"Cody, WY","Cody, WY, United States"
Zhengzhou,"Zhengzhou, China"
Basel,"Basel, Switzerland"
Ashgabat,"Ashgabat, Turkmenistan"
Arendal,"Arendal, Norway"
McMurdo Station,"McMurdo Station, Antarctica"
Amundsen-Scott,"Amundsen-Scott, Antarctica"
Saint Helier,"Saint Helier, Jersey"
"Park City, UT","Park City, UT, United States"
Anshan,"Anshan, China"
Karachi,"Karachi, Pakistan"
Rawalpindi,"Rawalpindi, Pakistan"
Zhuhai,"Zhuhai, China"
Kuwait City,"Kuwait City, Kuwait"
Basse-Terre,"Basse-Terre, Guadeloupe"
Deventer,"Deventer, Netherlands"
Naples,"Naples, Italy"
Sariwon,"Sariwon, North Korea"
"Palm Desert, CA","Palm Desert, CA, United States"
Lugano,"Lugano, Switzerland"
Road Town,"Road Town, British Virgin Islands"
Duhok,"Duhok, Kurdistan"
"Frederick, MD","Frederick, MD, United States"
Jinan,"Jinan, China"
"Newport Beach, CA","Newport Beach, CA, United States"
Arnhem,"Arnhem, Netherlands"
Kota,"Kota, India"
Zandvoort,"Zandvoort, Netherlands"
"Napa, CA","Napa, CA, United States"
Kamiyama,"Kamiyama, Japan"
Venice,"Venice, Italy"
Gurgaon,"Gurgaon, India"
Sulaymaniyah,"Sulaymaniyah, Kurdistan"
Espoo,"Espoo, Finland"
Jamestown,"Jamestown, Saint Helena"
George Town,"George Town, Cayman Islands"
"Oxnard, CA","Oxnard, CA, United States"
Haarlem,"Haarlem, Netherlands"
Punta del Este,"Punta del Este, Uruguay"
Islamabad,"Islamabad, Pakistan"
"Aurora, IL","Aurora, IL, United States"
"Torshavn, Faroe Islands","Torshavn, Faroe Islands, Denmark"
Cagliari,"Cagliari, Italy"
Ferrara,"Ferrara, Italy"
Bay Islands,"Bay Islands, Honduras"
"Baton Rouge, LA","Baton Rouge, LA, United States"
Multan,"Multan, Pakistan"
Weifang,"Weifang, China"
Aleppo,"Aleppo, Syria"
Cali,"Cali, Colombia"
"Nago, Okinawa","Nago, Okinawa, Japan"
Addis Ababa,"Addis Ababa, Ethiopia"
Lahore,"Lahore, Pakistan"
"San Angelo, TX","San Angelo, TX, United States"
Abuja,"Abuja, Nigeria"
Port Moresby,"Port Moresby, Papua New Guinea"
Siena,"Siena, Italy"
Nassau,"Nassau, The Bahamas"
"Ashland, OR","Ashland, OR, United States"
Anyang,"Anyang, China"
Northampton,"Northampton, United Kingdom"
Texel,"Texel, Netherlands"
Monza,"Monza, Italy"
"Harrisonburg, VA","Harrisonburg, VA, United States"
Rosario,"Rosario, Argentina"
Kitchener,"Kitchener, Canada"
"San Clemente, CA","San Clemente, CA, United States"
Yinchuan,"Yinchuan, China"
Banff,"Banff, Canada"
Zibo,"Zibo, China"
Xi An,"Xi An, China"
Kisangani,"Kisangani, DR Congo"
Taizhou,"Taizhou, China"
"Midland, TX","Midland, TX, United States"
Bilbao,"Bilbao, Spain"
Monterrey,"Monterrey, Mexico"
Dijon,"Dijon, France"
Kano,"Kano, Nigeria"
Yamoussoukro,"Yamoussoukro, Cote d'Ivoire"
"Santa Barbara, CA","Santa Barbara, CA, United States"
"Lake Tahoe, CA","Lake Tahoe, CA, United States"
Milan,"Milan, Italy"
Taiyuan,"Taiyuan, China"
León,"León, Nicaragua"
Chifeng,"Chifeng, China"
Jerusalem,"Jerusalem, Israel"
"Stamford, CT","Stamford, CT, United States"
Tangshan,"Tangshan, China"
Wuhan,"Wuhan, China"
Bruges,"Bruges, Belgium"
Lusaka,"Lusaka, Zambia"
"Key West, FL","Key West, FL, United States"
Chongjin,"Chongjin, North Korea"
"Menlo Park, CA","Menlo Park, CA, United States"
Santorini,"Santorini, Greece"
Tarifa,"Tarifa, Spain"
Ube,"Ube, Japan"
Niamey,"Niamey, Niger"
Luoyang,"Luoyang, China"
"San Mateo, CA","San Mateo, CA, United States"
Shijiazhuang,"Shijiazhuang, China"
"Port Orange, FL","Port Orange, FL, United States"
Port Vila,"Port Vila, Vanuatu"
Muscat,"Muscat, Oman"
"Palo Alto, CA","Palo Alto, CA, United States"
Tianjin,"Tianjin, China"
Tilburg,"Tilburg, Netherlands"
Kaechon,"Kaechon, North Korea"
Dongying,"Dongying, China"
Nanyang,"Nanyang, China"
"Joplin, MO","Joplin, MO, United States"
Copan,"Copan, Honduras"
Sendai,"Sendai, Japan"
"Waco, TX","Waco, TX, United States"
Rhodes,"Rhodes, Greece"
"Gulfport, MS","Gulfport, MS, United States"
"West Palm Beach, FL","West Palm Beach, FL, United States"
"Kenosha, WI","Kenosha, WI, United States"
Santa Cruz,"Santa Cruz, Bolivia"
"Youngstown, OH","Youngstown, OH, United States"
Bhubaneswar,"Bhubaneswar, India"
Port-au-Prince,"Port-au-Prince, Haiti"
Joao Pessoa,"Joao Pessoa, Brazil"
Qiqihar,"Qiqihar, China"
Mykonos,"Mykonos, Greece"
San Pedro,"San Pedro, Belize"
"Tulare, CA","Tulare, CA, United States"
Lanzhou,"Lanzhou, China"
Kaesong,"Kaesong, North Korea"
Oran,"Oran, Algeria"
"Milwaukee, WI","Milwaukee, WI, United States"
Baotou,"Baotou, China"
Toluca,"Toluca, Mexico"
Hannover,"Hannover, Germany"
"Chania, Crete","Chania, Crete, Greece"
Abidjan,"Abidjan, Cote d'Ivoire"
Scheveningen,"Scheveningen, Netherlands"
Nice,"Nice, France"
Puning,"Puning, China"
"Bridgeport, CT","Bridgeport, CT, United States"
San Salvador,"San Salvador, El Salvador"
Strasbourg,"Strasbourg, France"
Bursa,"Bursa, Turkey"
"Centennial, CO","Centennial, CO, United States"
Belo Horizonte,"Belo Horizonte, Brazil"
Shaoxing,"Shaoxing, China"
Lyon,"Lyon, France"
Lake Como,"Lake Como, Italy"
Tebessa,"Tebessa, Algeria"
Jilin,"Jilin, China"
Patras,"Patras, Greece"
Chelyabinsk,"Chelyabinsk, Russia"
Tegucigalpa,"Tegucigalpa, Honduras"
Makati,"Makati, Philippines"
Noida,"Noida, India"
Tijuana,"Tijuana, Mexico"
Moradabad,"Moradabad, India"
"Boise, ID","Boise, ID, United States"
Montanita,"Montanita, Ecuador"
Matara,"Matara, Sri Lanka"
"Great Falls, MT","Great Falls, MT, United States"
Semarang,"Semarang, Indonesia"
Surakarta,"Surakarta, Indonesia"
"Springfield, IL","Springfield, IL, United States"
"Mataram, Lombok","Mataram, Lombok, Indonesia"
Brussels,"Brussels, Belgium"
"Madison, WI","Madison, WI, United States"
"Provo, UT","Provo, UT, United States"
"Buffalo, NY","Buffalo, NY, United States"
Bournemouth,"Bournemouth, United Kingdom"
Kandy,"Kandy, Sri Lanka"
Osaka,"Osaka, Japan"
"Colorado Springs, CO","Colorado Springs, CO, United States"
"Princeton, NJ","Princeton, NJ, United States"
"Senggigi, Lombok","Senggigi, Lombok, Indonesia"
Livingstone,"Livingstone, Zambia"
Kaohsiung,"Kaohsiung, Taiwan"
Astana,"Astana, Kazakhstan"
"Oregon City, OR","Oregon City, OR, United States"
Nottingham,"Nottingham, United Kingdom"
"Spokane Valley, WA","Spokane Valley, WA, United States"
Moncton,"Moncton, Canada"
"Jackson, TN","Jackson, TN, United States"
"Valdosta, GA","Valdosta, GA, United States"
"Iowa City, IA","Iowa City, IA, United States"
Krasnoyarsk,"Krasnoyarsk, Russia"
Nantes,"Nantes, France"
Bishkek,"Bishkek, Kyrgyzstan"
"Pittsburgh, PA","Pittsburgh, PA, United States"
"Las Cruces, NM","Las Cruces, NM, United States"
Nuku'alofa,"Nuku'alofa, Tonga"
"Corralejo, Canary Islands","Corralejo, Canary Islands, Spain"
Harare,"Harare, Zimbabwe"
Skopje,"Skopje, North Macedonia"
"Santa Rosa, CA","Santa Rosa, CA, United States"
San Luis Potosi,"San Luis Potosi, Mexico"
"Dubuque, IA","Dubuque, IA, United States"
Hua Hin,"Hua Hin, Thailand"
Agadir,"Agadir, Morocco"
Kosice,"Kosice, Slovakia"
Langkawi,"Langkawi, Malaysia"
Bandung,"Bandung, Indonesia"
Lethbridge,"Lethbridge, Canada"
Newcastle Upon Tyne,"Newcastle Upon Tyne, United Kingdom"
"Johnson City, TN","Johnson City, TN, United States"
Guanajuato,"Guanajuato, Mexico"
Thiruvananthapuram,"Thiruvananthapuram, India"
Yogyakarta,"Yogyakarta, Indonesia"
"Reno, NV","Reno, NV, United States"
"Topeka, KS","Topeka, KS, United States"
Luang Prabang,"Luang Prabang, Laos"
"Fort Lauderdale, FL","Fort Lauderdale, FL, United States"
Hermosillo,"Hermosillo, Mexico"
Ko Lipe,"Ko Lipe, Thailand"
"Duluth, MN","Duluth, MN, United States"
"Appleton, WI","Appleton, WI, United States"
"St. Louis, MO","St. Louis, MO, United States"
Ankara,"Ankara, Turkey"
Hvar,"Hvar, Croatia"
Bar,"Bar, Montenegro"
"Port St. Lucie, FL","Port St. Lucie, FL, United States"
"Savannah, GA","Savannah, GA, United States"
"Merced, CA","Merced, CA, United States"
