City,Country,City-Country_EN,City_ES,City-Country_ES,Other,Other_ES
Essaouira,Morocco,"Essaouira, Morocco",Essaouira,"Essaouira, Marruecos",Essaouira,Essaouira
General Santos,Philippines,"General Santos, Philippines",General Santos,"General Santos, Filipinas",General Santos,General Santos
"Orlando, FL",United States,"Orlando, FL, United States","Orlando, FL","Orlando, FL, Estados Unidos",Orlando,Orlando
Chatham,Canada,"Chatham, Canada",Chatham,"Chatham, Canadá",Chatham,Chatham
Gwalior,India,"Gwalior, India",Gwalior,"Gwalior, India",Gwalior,Gwalior
Haikou,China,"Haikou, China",Haikou,"Haikou, China",Haikou,Haikou
Manchester,United Kingdom,"Manchester, United Kingdom",Manchester,"Manchester, Reino Unido",Manchester,Manchester
Siargao,Philippines,"Siargao, Philippines",Siargao,"Siargao, Filipinas",Siargao,Siargao
Antalya,Turkey,"Antalya, Turkey",Antalya,"Antalya, Turquía",Antalya,Antalya
Lucknow,India,"Lucknow, India",Lucknow,"Lucknow, India",Lucknow,Lucknow
"Miami, FL",United States,"Miami, FL, United States","Miami, Florida","Miami, FL, Estados Unidos",Miami,Miami
"Funchal, Madeira",Portugal,"Funchal, Madeira, Portugal","Funchal, Madeira","Funchal, Madeira, Portugal",Funchal,Funchal
Nashik,India,"Nashik, India",Nashik,"Nashik, India",Nashik,Nashik
La Union,Philippines,"La Union, Philippines",La Unión,"La Unión, Filipinas",La Union,La Unión
Bratislava,Slovakia,"Bratislava, Slovakia",Bratislava,"Bratislava, Eslovaquia",Bratislava,Bratislava
"Munggu, Bali",Indonesia,"Munggu, Bali, Indonesia","Munggu, Bali","Munggu, Bali, Indonesia",Munggu,Munggu
Guadalajara,Mexico,"Guadalajara, Mexico",Guadalajara,"Guadalajara, México",Guadalajara,Guadalajara
Plovdiv,Bulgaria,"Plovdiv, Bulgaria",Plovdiv,"Plovdiv, Bulgaria",Plovdiv,Plovdiv
Kota Kinabalu,Malaysia,"Kota Kinabalu, Malaysia",Kota Kinabalu,"Kota Kinabalu, Malasia",Kota Kinabalu,Kota Kinabalu
Taghazout,Morocco,"Taghazout, Morocco",Taghazout,"Taghazout, Marruecos",Taghazout,Taghazout
"Bryan, TX",United States,"Bryan, TX, United States","Bryan, TX","Bryan, TX, Estados Unidos",Bryan,Bryan
Oslo,Norway,"Oslo, Norway",Oslo,"Oslo, Noruega",Oslo,Oslo
Liverpool,United Kingdom,"Liverpool, United Kingdom",Liverpool,"Liverpool, Reino Unido",Liverpool,Liverpool
"Laredo, TX",United States,"Laredo, TX, United States","Laredo, TX","Laredo, TX, Estados Unidos",Laredo,Laredo
"Evansville, IN",United States,"Evansville, IN, United States","Evansville, IN","Evansville, IN, Estados Unidos",Evansville,Evansville
Reykjavik,Iceland,"Reykjavik, Iceland",Reikiavik,"Reykjavik, Islandia",Reykjavik,Reikiavik
Cologne,Germany,"Cologne, Germany",Colonia,"Colonia, Alemania",Cologne,Colonia
Jabalpur,India,"Jabalpur, India",Jabalpur,"Jabalpur, India",Jabalpur,Jabalpur
"Spokane, WA",United States,"Spokane, WA, United States","Spokane, WA","Spokane, WA, Estados Unidos",Spokane,Spokane
"Birmingham, AL",United States,"Birmingham, AL, United States","Birmingham, AL","Birmingham, AL, Estados Unidos",Birmingham,Birmingham
Kanpur,India,"Kanpur, India",Kanpur,"Kanpur, India",Kanpur,Kanpur
Asansol,India,"Asansol, India",Asansol,"Asansol, India",Asansol,Asansol
Hobart,Australia,"Hobart, Australia",Hobart,"Hobart, Australia",Hobart,Hobart
El Jadida,Morocco,"El Jadida, Morocco",El Jadida,"El Jadida, Marruecos",El Jadida,El Jadida
Poznan,Poland,"Poznan, Poland",Poznan,"Poznan, Polonia",Poznan,Poznan
Paramaribo,Suriname,"Paramaribo, Suriname",Paramaribo,"Paramaribo, Surinam",Paramaribo,Paramaribo
Leicester,United Kingdom,"Leicester, United Kingdom",Leicester,"Leicester, Reino Unido",Leicester,Leicester
Quito,Ecuador,"Quito, Ecuador",Quito,"Quito, Ecuador",Quito,Quito
"Dallas, TX",United States,"Dallas, TX, United States","Dallas, TX","Dallas, TX, Estados Unidos",Dallas,Dallas
Kuching,Malaysia,"Kuching, Malaysia",Kuching,"Kuching, Malasia",Kuching,Kuching
Copenhagen,Denmark,"Copenhagen, Denmark",Copenhague,"Copenhague, Dinamarca",Copenhagen,Copenhague
"Salt Lake City, UT",United States,"Salt Lake City, UT, United States","Salt Lake City, UT","Salt Lake City, UT, Estados Unidos",Salt Lake City,Salt Lake City
Dunedin,New Zealand,"Dunedin, New Zealand",Dunedin,"Dunedin, Nueva Zelanda",Dunedin,Dunedin
Dhanbad,India,"Dhanbad, India",Dhanbad,"Dhanbad, India",Dhanbad,Dhanbad
"Columbus, GA",United States,"Columbus, GA, United States","Columbus, GA","Columbus, GA, Estados Unidos",Columbus,Columbus
"Beaumont, TX",United States,"Beaumont, TX, United States","Beaumont, TX","Beaumont, TX, Estados Unidos",Beaumont,Beaumont
"Mobile, AL",United States,"Mobile, AL, United States","Móvil, AL","Mobile, AL, Estados Unidos",Mobile,Mobile
Mostar,Bosnia,"Mostar, Bosnia",Mostar,"Mostar, Bosnia",Mostar,Mostar
"Seminyak, Bali",Indonesia,"Seminyak, Bali, Indonesia","Seminyak, Bali","Seminyak, Bali, Indonesia",Seminyak,Seminyak
Fredericton,Canada,"Fredericton, Canada",Fredericton,"Fredericton, Canadá",Fredericton,Fredericton
Halifax,Canada,"Halifax, Canada",Halifax,"Halifax, Canadá",Halifax,Halifax
Medellín,Colombia,"Medellín, Colombia",Medellín,"Medellín, Colombia",Medellín,Medellín
Kalyan,India,"Kalyan, India",Kalyan,"Kalyan, India",Kalyan,Kalyan
Bareilly,India,"Bareilly, India",Bareilly,"Bareilly, India",Bareilly,Bareilly
Ko Tao,Thailand,"Ko Tao, Thailand",Ko Tao,"Ko Tao, Tailandia",Ko Tao,Ko Tao
"Albany, OR",United States,"Albany, OR, United States","Albany, Oregón","Albany, OR, Estados Unidos",Albany,Albany
Jamshedpur,India,"Jamshedpur, India",Jamshedpur,"Jamshedpur, India",Jamshedpur,Jamshedpur
Paris,France,"Paris, France",París,"París, Francia",Paris,París
Luanda,Angola,"Luanda, Angola",Luanda,"Luanda, Angola",Luanda,Luanda
Adelaide,Australia,"Adelaide, Australia",Adelaida,"Adelaide, Australia",Adelaide,Adelaida
Adana,Turkey,"Adana, Turkey",Adana,"Adana, Turquía",Adana,Adana
Banja Luka,Bosnia,"Banja Luka, Bosnia",Banja Luka,"Banja Luka, Bosnia",Banja Luka,Banja Luka
Malang,Indonesia,"Malang, Indonesia",Malang,"Malang, Indonesia",Malang,Malang
"Rochester, MN",United States,"Rochester, MN, United States","Rochester, MN","Rochester, MN, Estados Unidos",Rochester,Rochester
"Cleveland, OH",United States,"Cleveland, OH, United States","Cleveland, OH","Cleveland, OH, Estados Unidos",Cleveland,Cleveland
Johannesburg,South Africa,"Johannesburg, South Africa",Johannesburgo,"Johannesburgo, Sudáfrica",Johannesburg,Johannesburgo
Leeds,United Kingdom,"Leeds, United Kingdom",Leeds,"Leeds, Reino Unido",Leeds,Leeds
Kingston,Jamaica,"Kingston, Jamaica",Kingston,"Kingston, Jamaica",Kingston,Kingston
"Fayetteville, NC",United States,"Fayetteville, NC, United States","Fayetteville, Carolina del Norte","Fayetteville, NC, Estados Unidos",Fayetteville,Fayetteville
Dresden,Germany,"Dresden, Germany",Dresde,"Dresde, Alemania",Dresden,Dresde
Grande Prairie,Canada,"Grande Prairie, Canada",Grande Prairie,"Grande Prairie, Canadá",Grande Prairie,Grande Prairie
"Clarksville, TN",United States,"Clarksville, TN, United States","Clarksville, TN","Clarksville, TN, Estados Unidos",Clarksville,Clarksville
Port Elizabeth,South Africa,"Port Elizabeth, South Africa",Puerto Elizabeth,"Port Elizabeth, Sudáfrica",Port Elizabeth,Puerto Elizabeth
"Tulsa, OK",United States,"Tulsa, OK, United States","Tulsa, de acuerdo","Tulsa, OK, Estados Unidos",Tulsa,Tulsa
Allahabad,India,"Allahabad, India",Allahabad,"Allahabad, India",Allahabad,Allahabad
St. Catharines,Canada,"St. Catharines, Canada",St. Catharines,"S t. Catharines, Canadá ",St. Catharines,St. Catharines
Pattaya,Thailand,"Pattaya, Thailand",Pattaya,"Pattaya, Tailandia",Pattaya,Pattaya
Nagpur,India,"Nagpur, India",Nagpur,"Nagpur, India",Nagpur,Nagpur
Kannur,India,"Kannur, India",Kannur,"Kannur, India",Kannur,Kannur
Apia,Samoa,"Apia, Samoa",Apia,"Apia, Samoa",Apia,Apia
"Toledo, OH",United States,"Toledo, OH, United States","Toledo, OH","Toledo, OH, Estados Unidos",Toledo,Toledo
Merida,Mexico,"Merida, Mexico",Mérida,"Mérida, México",Merida,Mérida
Beirut,Lebanon,"Beirut, Lebanon",Beirut,"Beirut, Líbano",Beirut,Beirut
Nha Trang,Vietnam,"Nha Trang, Vietnam",Nha Trang,"Nha Trang, Vietnam",Nha Trang,Nha Trang
Busan,South Korea,"Busan, South Korea",Busan,"Busan, Corea del Sur",Busan,Busan
"Sioux Falls, SD",United States,"Sioux Falls, SD, United States","Sioux Falls, SD","Sioux Falls, SD, Estados Unidos",Sioux Falls,Sioux Falls
Novi Sad,Serbia,"Novi Sad, Serbia",Novi Sad,"Novi Sad, Serbia",Novi Sad,Novi Sad
Kozhikode,India,"Kozhikode, India",Kozhikode,"Kozhikode, India",Kozhikode,Kozhikode
La Paz,Mexico,"La Paz, Mexico",La Paz,"La Paz, México",La Paz,La Paz
"Gainesville, FL",United States,"Gainesville, FL, United States","Gainesville, FL","Gainesville, FL, Estados Unidos",Gainesville,Gainesville
"Medford, OR",United States,"Medford, OR, United States","Medford, OR","Medford, OR, Estados Unidos",Medford,Medford
"Roanoke, VA",United States,"Roanoke, VA, United States","Roanoke, VA","Roanoke, VA, Estados Unidos",Roanoke,Roanoke
Montevideo,Uruguay,"Montevideo, Uruguay",Montevideo,"Montevideo, Uruguay",Montevideo,Montevideo
Malappuram,India,"Malappuram, India",Malappuram,"Malappuram, India",Malappuram,Malappuram
"Nashville, TN",United States,"Nashville, TN, United States","Nashville, TN","Nashville, TN, Estados Unidos",Nashville,Nashville
Groningen,Netherlands,"Groningen, Netherlands",Groningen,"Groningen, Países Bajos",Groningen,Groningen
Queretaro,Mexico,"Queretaro, Mexico",Querétaro,"Querétaro, México",Queretaro,Querétaro
Lodz,Poland,"Lodz, Poland",Lodz,"Lodz, Polonia",Lodz,Lodz
Oshawa,Canada,"Oshawa, Canada",Oshawa,"Oshawa, Canadá",Oshawa,Oshawa
Stuttgart,Germany,"Stuttgart, Germany",Stuttgart,"Stuttgart, Alemania",Stuttgart,Stuttgart
"Peoria, IL",United States,"Peoria, IL, United States","Peoria, IL","Peoria, IL, Estados Unidos",Peoria,Peoria
Galapagos Islands,Ecuador,"Galapagos Islands, Ecuador",Islas Galápagos,"Islas Galápagos, Ecuador",Galapagos Islands,Islas Galápagos
Cozumel,Mexico,"Cozumel, Mexico",Cozumel,"Cozumel, México",Cozumel,Cozumel
